ensembl,"Gene 
Name"
ENSG00000275896,PRSS2
ENSG00000204983,PRSS1
ENSG00000134121,CHL1
ENSG00000172346,CSDC2
ENSG00000092054,MYH7
ENSG00000123560,PLP1
ENSG00000225828,FAM229A
ENSG00000106236,NPTX2
ENSG00000141933,TPGS1
ENSG00000139910,NOVA1
ENSG00000149633,KIAA1755
ENSG00000009724,MASP2
ENSG00000175602,CCDC85B
ENSG00000186462,NAP1L2
ENSG00000089472,HEPH
ENSG00000104879,CKM
ENSG00000198598,MMP17
ENSG00000198125,MB
ENSG00000173272,MZT2A
ENSG00000186081,KRT5
ENSG00000203772,SPRN
ENSG00000103056,SMPD3
ENSG00000145217,SLC26A1
ENSG00000188747,NOXA1
ENSG00000107872,FBXL15
ENSG00000182195,LDOC1
ENSG00000152082,MZT2B
ENSG00000108551,RASD1
ENSG00000212864,RNF208
ENSG00000009950,MLXIPL
ENSG00000067840,PDZD4
ENSG00000205795,CYS1
ENSG00000179588,ZFPM1
ENSG00000130748,TMEM160
ENSG00000188859,FAM78B
ENSG00000166780,C16orf45
ENSG00000105737,GRIK5
ENSG00000182154,MRPL41
ENSG00000103254,FAM173A
ENSG00000160460,SPTBN4
ENSG00000003249,DBNDD1
ENSG00000125534,PPDPF
ENSG00000129968,ABHD17A
ENSG00000159884,CCDC107
ENSG00000169203,NPIPB12
ENSG00000198753,PLXNB3
ENSG00000130881,LRP3
ENSG00000144908,ALDH1L1
ENSG00000243509,TNFRSF6B
ENSG00000167676,PLIN4
ENSG00000131095,GFAP
ENSG00000115138,POMC
ENSG00000128185,DGCR6L
ENSG00000218891,ZNF579
ENSG00000157368,IL34
ENSG00000151892,GFRA1
ENSG00000134201,GSTM5
ENSG00000168993,CPLX1
ENSG00000117425,PTCH2
ENSG00000167779,IGFBP6
ENSG00000143632,ACTA1
ENSG00000130558,OLFM1
ENSG00000132329,RAMP1
ENSG00000167136,ENDOG
ENSG00000135424,ITGA7
ENSG00000167701,GPT
ENSG00000171159,C9orf16
ENSG00000125652,ALKBH7
ENSG00000103024,NME3
ENSG00000188290,HES4
ENSG00000163959,SLC51A
ENSG00000006015,C19orf60
ENSG00000158050,DUSP2
ENSG00000127415,IDUA
ENSG00000099624,ATP5D
ENSG00000163631,ALB
ENSG00000173621,LRFN4
ENSG00000161677,JOSD2
ENSG00000163864,NMNAT3
ENSG00000165886,UBTD1
ENSG00000101220,C20orf27
ENSG00000144485,HES6
ENSG00000063241,ISOC2
ENSG00000183793,NPIPA5
ENSG00000154065,ANKRD29
ENSG00000008710,PKD1
ENSG00000159733,ZFYVE28
ENSG00000130731,METTL26
ENSG00000127418,FGFRL1
ENSG00000250571,GLI4
ENSG00000101938,CHRDL1
ENSG00000174276,ZNHIT2
ENSG00000170477,KRT4
ENSG00000165449,SLC16A9
ENSG00000184343,SRPK3
ENSG00000183426,NPIPA1
ENSG00000147027,TMEM47
ENSG00000004777,ARHGAP33
ENSG00000175264,CHST1
ENSG00000203896,LIME1
ENSG00000160307,S100B
ENSG00000105649,RAB3A
ENSG00000165802,NSMF
ENSG00000166165,CKB
ENSG00000165804,ZNF219
ENSG00000145075,CCDC39
ENSG00000103260,METRN
ENSG00000130653,PNPLA7
ENSG00000177374,HIC1
ENSG00000101460,MAP1LC3A
ENSG00000115286,NDUFS7
ENSG00000221821,C6orf226
ENSG00000101400,SNTA1
ENSG00000172348,RCAN2
ENSG00000125648,SLC25A23
ENSG00000148832,PAOX
ENSG00000280071,CH507-9B2.3
ENSG00000266074,BAHCC1
ENSG00000174917,C19orf70
ENSG00000187193,MT1X
ENSG00000106330,MOSPD3
ENSG00000181029,TRAPPC5
ENSG00000213221,DNLZ
ENSG00000130758,MAP3K10
ENSG00000007376,RPUSD1
ENSG00000176978,DPP7
ENSG00000177706,FAM20C
ENSG00000198064,NPIPB13
ENSG00000132970,WASF3
ENSG00000173581,CCDC106
ENSG00000197530,MIB2
ENSG00000221843,C2orf16
ENSG00000171401,KRT13
ENSG00000126243,LRFN3
ENSG00000160972,PPP1R16A
ENSG00000171045,TSNARE1
ENSG00000159761,C16orf86
ENSG00000149294,NCAM1
ENSG00000198832,SELENOM
ENSG00000242612,DECR2
ENSG00000165995,CACNB2
ENSG00000162572,SCNN1D
ENSG00000171222,SCAND1
ENSG00000261221,ZNF865
ENSG00000087258,GNAO1
ENSG00000132840,BHMT2
ENSG00000229809,ZNF688
ENSG00000070423,RNF126
ENSG00000064545,TMEM161A
ENSG00000132879,FBXO44
ENSG00000187479,C11orf96
ENSG00000198816,ZNF358
ENSG00000132481,TRIM47
ENSG00000169733,RFNG
ENSG00000167508,MVD
ENSG00000189056,RELN
ENSG00000233954,UQCRHL
ENSG00000073169,SELENOO
ENSG00000103266,STUB1
ENSG00000142409,ZNF787
ENSG00000125656,CLPP
ENSG00000009694,TENM1
ENSG00000165152,TMEM246
ENSG00000109819,PPARGC1A
ENSG00000243477,NAT6
ENSG00000274512,TBC1D3L
ENSG00000130005,GAMT
ENSG00000166819,PLIN1
ENSG00000109736,MFSD10
ENSG00000163995,ABLIM2
ENSG00000135744,AGT
ENSG00000135929,CYP27A1
ENSG00000177595,PIDD1
ENSG00000145214,DGKQ
ENSG00000158106,RHPN1
ENSG00000183889,AC138969.4
ENSG00000196136,SERPINA3
ENSG00000106009,BRAT1
ENSG00000162076,FLYWCH2
ENSG00000109107,ALDOC
ENSG00000261236,BOP1
ENSG00000167487,KLHL26
ENSG00000232434,C9orf172
ENSG00000164877,MICALL2
ENSG00000115226,FNDC4
ENSG00000133265,HSPBP1
ENSG00000198483,ANKRD35
ENSG00000162585,FAAP20
ENSG00000146540,C7orf50
ENSG00000213563,C8orf82
ENSG00000105520,PLPPR2
ENSG00000187609,EXD3
ENSG00000158716,DUSP23
ENSG00000173137,ADCK5
ENSG00000151006,PRSS53
ENSG00000162804,SNED1
ENSG00000107736,CDH23
ENSG00000078814,MYH7B
ENSG00000136999,NOV
ENSG00000183655,KLHL25
ENSG00000105516,DBP
ENSG00000277972,CISD3
ENSG00000205309,NT5M
ENSG00000160221,C21orf33
ENSG00000197696,NMB
ENSG00000167526,RPL13
ENSG00000099821,POLRMT
ENSG00000111275,ALDH2
ENSG00000215375,MYL5
ENSG00000125520,SLC2A4RG
ENSG00000005379,TSPOAP1
ENSG00000176463,SLCO3A1
ENSG00000112667,DNPH1
ENSG00000197483,ZNF628
ENSG00000126215,XRCC3
ENSG00000178814,OPLAH
ENSG00000187051,RPS19BP1
ENSG00000095906,NUBP2
ENSG00000181638,ZFP41
ENSG00000116649,SRM
ENSG00000104524,PYCRL
ENSG00000163704,PRRT3
ENSG00000203883,SOX18
ENSG00000214456,PLIN5
ENSG00000179526,SHARPIN
ENSG00000180113,TDRD6
ENSG00000122490,PQLC1
ENSG00000088826,SMOX
ENSG00000103227,LMF1
ENSG00000204172,AGAP9
ENSG00000197982,C1orf122
ENSG00000254206,NPIPB11
ENSG00000108557,RAI1
ENSG00000128298,BAIAP2L2
ENSG00000007541,PIGQ
ENSG00000149922,TBX6
ENSG00000130511,SSBP4
ENSG00000184967,NOC4L
ENSG00000135144,DTX1
ENSG00000228300,C19orf24
ENSG00000065268,WDR18
ENSG00000099904,ZDHHC8
ENSG00000167799,NUDT8
ENSG00000170011,MYRIP
ENSG00000159069,FBXW5
ENSG00000101439,CST3
ENSG00000243708,PLA2G4B
ENSG00000108479,GALK1
ENSG00000058453,CROCC
ENSG00000145945,FAM50B
ENSG00000107331,ABCA2
ENSG00000099840,IZUMO4
ENSG00000160226,C21orf2
ENSG00000144199,FAHD2B
ENSG00000131730,CKMT2
ENSG00000166166,TRMT61A
ENSG00000131591,C1orf159
ENSG00000104863,LIN7B
ENSG00000160323,ADAMTS13
ENSG00000090097,PCBP4
ENSG00000169992,NLGN2
ENSG00000110717,NDUFS8
ENSG00000179271,GADD45GIP1
ENSG00000248487,ABHD14A
ENSG00000100258,LMF2
ENSG00000184897,H1FX
ENSG00000187961,KLHL17
ENSG00000107404,DVL1
ENSG00000141577,CEP131
ENSG00000154277,UCHL1
ENSG00000141905,NFIC
ENSG00000187134,AKR1C1
ENSG00000126368,NR1D1
ENSG00000107281,NPDC1
ENSG00000105245,NUMBL
ENSG00000100726,TELO2
ENSG00000144712,CAND2
ENSG00000132819,RBM38
ENSG00000238083,LRRC37A2
ENSG00000185189,NRBP2
ENSG00000213339,QTRT1
ENSG00000171962,DRC3
ENSG00000151632,AKR1C2
ENSG00000105426,PTPRS
ENSG00000204536,CCHCR1
ENSG00000105767,CADM4
ENSG00000129932,DOHH
ENSG00000174516,PELI3
ENSG00000105701,FKBP8
ENSG00000122574,WIPF3
ENSG00000196972,SMIM10L2B
ENSG00000160813,PPP1R35
