SRR_ID,Tissue,Sex,ProjectID,Gestation_age
ERR2704717,Heart,Female,PRJEB27811 ,16
ERR10763248,Heart,Female,PRJEB58854 ,8
SRR3192434,Heart,Female,PRJNA30709 ,28
SRR9887706,Heart,Female,PRJNA554845 ,11
SRR9887711,Heart,Female,PRJNA554845 ,12
ERR2704712,Heart,Male,PRJEB27811,12
ERR2704714,Heart,Male,PRJEB27811,12
ERR2704715,Heart,Male,PRJEB27811,16
ERR2704716,Heart,Male,PRJEB27811 ,9
ERR2704719,Heart,Male,PRJEB27811 ,9
ERR10763251,Muslce,Female,PRJEB58854 ,7
SRR980476,Muscle,Female,SRP001371,16.14
SRR3192453,Muscle,Female,PRJNA30709 ,19
SRR4421495,Muscle,Female,PRJNA30709 ,19
ERR10763274,Muscle,Male,PRJEB58854,7
ERR10763275,Muscle,Male,PRJEB58854 ,7
SRR786776,Muscle,Male,SRP001371 ,15
SRR3192454,Muslce,Male,PRJNA30709 ,22
SRR4421494,Muscle,Male,PRJNA30709 ,22
SRR9887771,Muscle,Male,PRJNA554845,12
SRR980483,Stomach,Female,SRP001371,7
SRR3192450,Stomach,Female,PRJNA30709,40
SRR4421777,Stomach,Female,PRJNA30709,40
SRR2014229,Stomach,Male,PRJNA283012,18
SRR2014231,Stomach,Male,PRJNA283012 ,24
SRR3192449,Stomach,Male,PRJNA30709,36
SRR5309850,Stomach,Unknown,PRJNA377736 ,6
SRR5309855,Stomach,Unknown,PRJNA377736,6
SRR5309856,Stomach,Unknown,PRJNA377736,6
SRR5309881,Stomach,Unknown,PRJNA377736,11
SRR3111523,Placenta,Female,PRJNA309411,40.43
SRR3111524,Placenta,Female,PRJNA309411,40.86
SRR3111527,Placenta,Female,PRJNA309411,41.57
SRR3111530,Placenta,Female,PRJNA309411,41.14
SRR3111531,Placenta,Female,PRJNA309411,41.43
SRR3111532,Placenta,Female,PRJNA309411,41.43
SRR3111536,Placenta,Female,PRJNA309411,40.57
SRR3111537,Placenta,Female,PRJNA309411,39.86
SRR3111525,Placenta,Male,PRJNA309411,39.29
SRR3111526,Placenta,Male,PRJNA309411,41.14
SRR3111528,Placenta,Male,PRJNA309411,41.43
SRR3111529,Placenta,Male,PRJNA309411,41.29
SRR3111533,Placenta,Male,PRJNA309411,40.71
SRR3111534,Placenta,Male,PRJNA309411,40.57
SRR3111535,Placenta,Male,PRJNA309411,39.86
SRR3111538,Placenta,Male,PRJNA309411,40.57
