"","ERR2704717","ERR10763248","SRR3192434","SRR9887706","SRR9887711"
"ENSG00000223972",1,0,0,0,0
"ENSG00000227232",140,1,32,11,48
"ENSG00000278267",21,1,0,0,0
"ENSG00000243485",1,0,0,0,0
"ENSG00000238009",3,0,0,0,0
"ENSG00000268903",40,4,0,3,6
"ENSG00000269981",52,2,0,0,0
"ENSG00000239906",2,0,1,0,0
"ENSG00000241860",53,1,41,0,0
"ENSG00000279457",298,21,33,3,31
"ENSG00000228463",95,6,5,1,1
"ENSG00000236679",3,0,0,0,0
"ENSG00000237094",96,1,46,0,0
"ENSG00000250575",1,0,0,0,0
"ENSG00000230021",34,1,4,2,1
"ENSG00000225972",461,9,0,29,8
"ENSG00000225630",639,1737,25,29,38
"ENSG00000237973",10884,580,159,17649,54797
"ENSG00000278791",1,0,1,0,0
"ENSG00000229344",1810,14,1,1,35
"ENSG00000240409",1,1,0,0,0
"ENSG00000248527",12132,7245,242,325,385
"ENSG00000198744",1841,13,1,9,2
"ENSG00000228327",311,18,142,1,3
"ENSG00000223181",0,0,7,0,0
"ENSG00000237491",18,11,67,0,0
"ENSG00000230092",11,2,297,0,1
"ENSG00000177757",0,1,1,0,0
"ENSG00000228794",3483,417,2747,100,260
"ENSG00000225880",63,16,35,3,31
"ENSG00000230368",3,0,24,0,0
"ENSG00000234711",1,0,0,0,0
"ENSG00000272438",7,5,3,1,0
"ENSG00000230699",22,17,7,0,0
"ENSG00000223764",60,77,17,1,3
"ENSG00000187634",234,281,58,19,32
"ENSG00000188976",1506,1036,1275,32,404
"ENSG00000187961",180,100,41,11,9
"ENSG00000187583",1,1,3,0,0
"ENSG00000187642",9,0,25,0,0
"ENSG00000272512",32,20,6,0,2
"ENSG00000188290",316,385,102,22,123
"ENSG00000187608",111,71,86,172,861
"ENSG00000231702",13,0,1,0,0
"ENSG00000224969",0,0,0,1,1
"ENSG00000188157",3055,2563,1607,0,0
"ENSG00000217801",6,2,2,0,2
"ENSG00000131591",179,126,116,3,17
"ENSG00000186891",8,0,3,0,2
"ENSG00000186827",104,10,10,2,12
"ENSG00000078808",2285,1520,887,186,508
"ENSG00000176022",200,563,252,66,109
"ENSG00000184163",17,5,11,0,9
"ENSG00000260179",3,1,12,0,0
"ENSG00000160087",586,648,607,96,432
"ENSG00000230415",28,6,21,0,0
"ENSG00000162572",275,93,67,0,1
"ENSG00000131584",2340,529,1099,28,19
"ENSG00000169972",113,121,61,7,52
"ENSG00000127054",2102,877,607,117,295
"ENSG00000240731",56,26,32,1,0
"ENSG00000224051",453,285,261,10,32
"ENSG00000169962",33,13,19,2,0
"ENSG00000107404",1088,510,823,21,27
"ENSG00000162576",738,612,374,200,609
"ENSG00000175756",873,1097,796,330,2948
"ENSG00000221978",3612,2257,2903,133,1010
"ENSG00000224870",149,195,192,28,198
"ENSG00000242485",804,657,613,311,842
"ENSG00000272455",75,33,17,2,0
"ENSG00000235098",30,11,13,5,10
"ENSG00000225905",0,0,1,0,0
"ENSG00000225285",10,8,3,0,5
"ENSG00000179403",521,244,275,85,214
"ENSG00000215915",25,9,0,0,23
"ENSG00000160072",706,317,810,3,11
"ENSG00000284740",12,10,9,2,7
"ENSG00000197785",440,362,251,10,29
"ENSG00000205090",117,56,33,0,3
"ENSG00000160075",1065,1315,897,118,491
"ENSG00000215014",14,19,3,4,14
"ENSG00000228594",28,81,0,15,5
"ENSG00000272106",273,173,270,12,18
"ENSG00000197530",2707,691,1269,22,51
"ENSG00000189409",72,16,30,5,20
"ENSG00000248333",673,406,364,171,443
"ENSG00000272004",6,2,13,3,7
"ENSG00000189339",2323,576,1564,138,178
"ENSG00000269737",0,0,0,36,5
"ENSG00000215914",8,0,7,2,0
"ENSG00000008128",25,12,21,0,0
"ENSG00000268575",125,23,125,0,0
"ENSG00000227775",0,4,4,5,2
"ENSG00000215790",684,456,606,15,25
"ENSG00000008130",624,516,658,7,25
"ENSG00000078369",4386,4670,3135,496,617
"ENSG00000231050",10,5,3,0,0
"ENSG00000169885",7,2,4,0,0
"ENSG00000178821",2,9,0,3,5
"ENSG00000142609",2,1,6,0,5
"ENSG00000233542",11,2,1,0,0
"ENSG00000187730",72,6,8,0,0
"ENSG00000226969",0,0,0,0,2
"ENSG00000067606",809,356,524,4,47
"ENSG00000271806",0,0,0,6,0
"ENSG00000182873",32,40,17,0,0
"ENSG00000162585",681,595,256,132,507
"ENSG00000234396",4,0,2,0,0
"ENSG00000157933",1722,1701,1210,59,77
"ENSG00000116151",127,73,221,15,15
"ENSG00000272161",1,0,1,0,0
"ENSG00000269896",72,21,11,0,0
"ENSG00000272420",12,17,7,3,5
"ENSG00000157916",1637,1303,1418,374,1558
"ENSG00000157911",450,461,471,37,155
"ENSG00000149527",2,0,0,0,0
"ENSG00000157881",840,218,862,0,10
"ENSG00000197921",8,1,3,0,0
"ENSG00000238164",1,0,5,0,0
"ENSG00000157873",72,17,67,0,2
"ENSG00000157870",114,33,63,7,4
"ENSG00000142606",0,1,2,0,2
"ENSG00000177133",1866,348,511,56,29
"ENSG00000142611",2264,491,978,68,53
"ENSG00000283572",2,0,15,0,0
"ENSG00000279839",11,1,74,0,3
"ENSG00000272235",11,5,8,3,0
"ENSG00000130762",22,30,8,0,1
"ENSG00000162591",1092,633,1124,5,12
"ENSG00000238260",40,4,2,5,9
"ENSG00000158109",762,423,674,36,43
"ENSG00000116213",264,197,253,71,227
"ENSG00000078900",24,7,5,6,0
"ENSG00000227372",969,516,712,41,108
"ENSG00000162592",1,0,0,0,0
"ENSG00000235169",62,25,54,40,119
"ENSG00000130764",1202,998,1292,60,112
"ENSG00000266075",4,7,2,0,7
"ENSG00000272153",3,2,2,2,6
"ENSG00000116198",569,274,1018,74,47
"ENSG00000169598",135,58,206,5,14
"ENSG00000198912",232,267,286,67,353
"ENSG00000236423",3,6,3,1,2
"ENSG00000196581",15,7,57,0,6
"ENSG00000131697",273,125,252,11,16
"ENSG00000069424",77,66,82,2,15
"ENSG00000116254",11,6,6,2,0
"ENSG00000116251",1669,1951,2101,1146,1381
"ENSG00000226944",12,4,12,3,13
"ENSG00000158286",6537,3022,5843,152,313
"ENSG00000116237",804,1564,3037,165,315
"ENSG00000225077",9,1,1,0,3
"ENSG00000158292",385,293,243,21,131
"ENSG00000097021",342,451,95,21,96
"ENSG00000271746",2,5,2,0,1
"ENSG00000069812",0,2,0,1,0
"ENSG00000187017",32,40,15,1,0
"ENSG00000215788",411,120,95,17,15
"ENSG00000171680",861,343,612,9,23
"ENSG00000162408",337,532,2046,77,72
"ENSG00000204859",591,226,312,5,64
"ENSG00000162413",1865,910,1970,69,73
"ENSG00000116273",518,608,659,33,105
"ENSG00000041988",355,183,236,62,298
"ENSG00000007923",1700,959,1470,38,207
"ENSG00000237436",4,5,3,13,4
"ENSG00000171735",458,884,1041,3602,14598
"ENSG00000207056",0,0,1,0,3
"ENSG00000237402",1,0,0,1,1
"ENSG00000270171",2,0,4,0,0
"ENSG00000270035",0,3,0,0,10
"ENSG00000269978",7,2,2,0,6
"ENSG00000049245",1149,1318,2216,285,494
"ENSG00000269925",23,13,34,1,4
"ENSG00000049246",611,153,1116,27,57
"ENSG00000236266",0,0,3,2,1
"ENSG00000049247",0,1,3,2,4
"ENSG00000049249",3,8,1,5,25
"ENSG00000116288",2109,2566,1883,2230,7173
"ENSG00000200344",0,0,0,0,1
"ENSG00000284747",11,3,8,0,0
"ENSG00000284716",0,1,2,1,0
"ENSG00000116285",372,290,824,51,84
"ENSG00000238290",11,12,10,13,51
"ENSG00000232848",0,1,0,0,0
"ENSG00000229305",0,0,5,0,0
"ENSG00000227634",0,1,1,0,0
"ENSG00000162426",16,15,16,4,5
"ENSG00000142599",3758,2089,4368,250,586
"ENSG00000232912",7,2,3,0,2
"ENSG00000221083",0,1,4,0,5
"ENSG00000234619",8,0,1,0,0
"ENSG00000224315",0,1,58,0,0
"ENSG00000222511",0,0,23,0,0
"ENSG00000228423",0,4,49,0,0
"ENSG00000074800",16963,13324,5269,1004,3265
"ENSG00000230679",1,4,1,1,19
"ENSG00000238249",23,16,4,1,2
"ENSG00000232208",1,0,0,0,0
"ENSG00000265141",0,0,9,0,0
"ENSG00000197241",6,0,3,0,0
"ENSG00000142583",78,11,133,1,16
"ENSG00000180758",148,75,565,5,4
"ENSG00000228526",44,21,32,0,4
"ENSG00000234546",3,7,0,1,8
"ENSG00000049239",1529,1144,2355,109,208
"ENSG00000171621",95,83,178,14,40
"ENSG00000284652",2,3,0,0,0
"ENSG00000284693",12,18,22,1,9
"ENSG00000171612",89,134,188,57,35
"ENSG00000231181",3,1,12,0,1
"ENSG00000188807",832,547,420,15,72
"ENSG00000171608",414,153,241,3,15
"ENSG00000233268",0,0,0,14,0
"ENSG00000231789",14,34,11,10,76
"ENSG00000171603",2611,2189,3203,220,594
"ENSG00000280113",0,0,7,0,0
"ENSG00000178585",717,729,1658,70,247
"ENSG00000223989",0,0,0,1,0
"ENSG00000285701",7,0,9,0,0
"ENSG00000162441",748,549,1643,245,602
"ENSG00000228150",0,2,12,0,6
"ENSG00000173614",403,233,602,36,82
"ENSG00000202415",6,4,61,0,0
"ENSG00000283611",0,1,4,0,0
"ENSG00000265521",0,0,3,0,0
"ENSG00000162444",994,99,392,590,830
"ENSG00000130939",2602,1319,2521,28,90
"ENSG00000233623",3,0,25,0,0
"ENSG00000201746",6,2,8,0,0
"ENSG00000054523",3431,3018,14061,562,472
"ENSG00000264881",0,0,2,0,0
"ENSG00000199562",3,7,24,22,66
"ENSG00000284735",0,0,1,0,6
"ENSG00000284642",20,12,9,0,3
"ENSG00000142657",1634,2409,570,292,484
"ENSG00000175279",5,23,6,40,138
"ENSG00000241563",6,1,5,0,0
"ENSG00000160049",1286,1515,2085,305,609
"ENSG00000203469",0,2,1,1,3
"ENSG00000142655",426,345,281,33,97
"ENSG00000243267",0,1,8,0,0
"ENSG00000130940",2562,1380,1912,61,65
"ENSG00000272078",1,7,0,0,0
"ENSG00000175262",49,8,28,0,0
"ENSG00000215785",0,1,0,0,0
"ENSG00000120948",1293,1301,875,680,1249
"ENSG00000009724",0,0,3,0,1
"ENSG00000271895",23,24,28,0,0
"ENSG00000116649",384,649,79,126,403
"ENSG00000171824",1563,1235,1447,90,274
"ENSG00000226849",12,9,9,0,0
