"","ERR2704712","ERR2704714","ERR2704715","ERR2704716","ERR2704719"
"ENSG00000223972",0,2,7,0,4
"ENSG00000227232",254,93,135,94,106
"ENSG00000278267",20,12,21,13,3
"ENSG00000243485",4,3,2,2,0
"ENSG00000237613",0,3,1,0,0
"ENSG00000238009",6,6,1,2,1
"ENSG00000268903",61,112,60,20,19
"ENSG00000269981",64,119,57,34,30
"ENSG00000239906",1,2,2,1,1
"ENSG00000241860",77,34,14,11,16
"ENSG00000279928",0,0,5,0,2
"ENSG00000279457",454,338,477,284,352
"ENSG00000228463",18,59,35,55,32
"ENSG00000236679",2,3,4,5,5
"ENSG00000237094",110,103,76,75,39
"ENSG00000233653",1,0,0,0,0
"ENSG00000250575",0,1,2,2,1
"ENSG00000230021",34,26,27,42,14
"ENSG00000225972",527,161,557,331,292
"ENSG00000225630",1113,550,695,693,715
"ENSG00000237973",7492,5283,15151,14331,4371
"ENSG00000278791",1,0,1,0,1
"ENSG00000229344",2473,1625,2656,1709,1440
"ENSG00000240409",3,0,1,4,0
"ENSG00000248527",18012,7189,12591,13494,3666
"ENSG00000198744",2480,1252,2307,1817,1617
"ENSG00000228327",473,275,215,262,140
"ENSG00000237491",33,28,57,33,9
"ENSG00000230092",5,2,4,9,5
"ENSG00000177757",1,0,0,0,0
"ENSG00000228794",1768,2132,2694,3533,837
"ENSG00000225880",88,70,64,83,63
"ENSG00000230368",2,3,2,3,1
"ENSG00000234711",0,1,0,1,2
"ENSG00000272438",21,10,9,7,26
"ENSG00000230699",71,52,34,31,61
"ENSG00000241180",0,0,1,0,0
"ENSG00000223764",222,233,129,116,241
"ENSG00000187634",624,547,421,360,907
"ENSG00000188976",1774,1569,1804,1609,1661
"ENSG00000187961",382,327,272,275,380
"ENSG00000187583",5,3,8,4,7
"ENSG00000187642",3,10,24,65,2
"ENSG00000272512",147,103,169,73,61
"ENSG00000188290",715,513,724,519,659
"ENSG00000187608",203,133,227,131,208
"ENSG00000231702",6,2,8,14,15
"ENSG00000188157",5678,5206,4642,3985,3772
"ENSG00000217801",6,1,3,2,8
"ENSG00000237330",1,0,0,0,0
"ENSG00000131591",369,300,327,254,324
"ENSG00000162571",0,0,0,1,0
"ENSG00000186891",3,2,3,2,1
"ENSG00000186827",50,28,101,78,17
"ENSG00000078808",3031,2801,2693,2481,1966
"ENSG00000176022",445,441,389,228,281
"ENSG00000184163",18,20,44,14,33
"ENSG00000260179",5,4,2,5,8
"ENSG00000160087",913,782,823,643,739
"ENSG00000230415",33,38,37,22,22
"ENSG00000162572",490,391,401,286,279
"ENSG00000131584",4064,2439,3982,3198,2233
"ENSG00000169972",222,203,213,163,182
"ENSG00000127054",3226,2863,3004,2524,2347
"ENSG00000240731",98,79,84,78,68
"ENSG00000224051",611,728,667,620,345
"ENSG00000169962",41,33,40,38,13
"ENSG00000107404",1529,1448,1677,1469,1030
"ENSG00000162576",1747,2092,1056,954,1557
"ENSG00000175756",1480,1260,1353,1121,1196
"ENSG00000221978",5868,4918,5026,4065,4706
"ENSG00000224870",237,272,289,175,132
"ENSG00000242485",943,679,832,771,986
"ENSG00000272455",97,99,116,91,23
"ENSG00000235098",30,38,22,34,8
"ENSG00000225905",1,4,1,3,0
"ENSG00000205116",0,0,1,0,0
"ENSG00000225285",27,18,10,3,29
"ENSG00000179403",838,666,746,578,344
"ENSG00000215915",30,23,27,25,13
"ENSG00000160072",1212,989,973,899,926
"ENSG00000284740",18,12,16,5,9
"ENSG00000197785",848,694,747,664,820
"ENSG00000205090",235,263,186,198,156
"ENSG00000160075",1381,1120,1224,1182,1240
"ENSG00000215014",9,5,7,8,4
"ENSG00000228594",102,85,56,31,59
"ENSG00000272106",264,287,260,263,221
"ENSG00000197530",3918,3161,3696,3443,2334
"ENSG00000189409",151,112,105,84,90
"ENSG00000248333",750,674,737,604,597
"ENSG00000272004",6,6,3,2,1
"ENSG00000189339",2765,2102,1584,2122,1403
"ENSG00000269737",0,1,2,0,0
"ENSG00000215914",6,7,16,4,15
"ENSG00000008128",43,27,37,36,34
"ENSG00000268575",137,146,77,125,57
"ENSG00000227775",2,1,3,0,0
"ENSG00000215790",839,717,965,530,929
"ENSG00000008130",986,880,961,684,706
"ENSG00000078369",5624,4591,4885,4853,5130
"ENSG00000231050",5,7,6,7,4
"ENSG00000169885",12,17,8,17,16
"ENSG00000178821",2,7,14,11,12
"ENSG00000142609",9,2,1,7,3
"ENSG00000233542",4,10,8,6,0
"ENSG00000187730",67,59,67,41,19
"ENSG00000067606",936,837,776,897,646
"ENSG00000182873",68,36,62,73,61
"ENSG00000162585",1188,1025,1138,1015,860
"ENSG00000234396",8,4,0,4,2
"ENSG00000157933",2396,2243,2369,2185,1505
"ENSG00000116151",179,170,120,132,109
"ENSG00000272161",2,3,0,3,0
"ENSG00000269896",93,81,65,76,34
"ENSG00000272420",30,12,5,8,7
"ENSG00000157916",2019,1888,1955,1642,1436
"ENSG00000157911",730,716,692,587,483
"ENSG00000149527",2,2,2,2,2
"ENSG00000229393",0,0,0,0,2
"ENSG00000157881",755,823,847,1005,815
"ENSG00000197921",9,5,5,7,6
"ENSG00000238164",0,1,3,2,0
"ENSG00000157873",96,95,192,108,44
"ENSG00000228037",2,2,0,2,0
"ENSG00000157870",173,165,164,141,104
"ENSG00000142606",7,3,4,1,8
"ENSG00000215912",0,1,0,0,0
"ENSG00000177133",3137,1879,4563,3415,1405
"ENSG00000142611",2792,1642,1829,2845,1517
"ENSG00000283572",3,0,0,1,1
"ENSG00000279839",6,2,0,4,5
"ENSG00000272235",18,8,10,6,12
"ENSG00000130762",65,25,26,17,37
"ENSG00000272088",1,0,0,0,0
"ENSG00000162591",1999,2555,1531,1241,1202
"ENSG00000238260",36,31,35,27,25
"ENSG00000158109",687,715,677,739,501
"ENSG00000116213",498,462,424,320,336
"ENSG00000078900",12,12,20,28,1
"ENSG00000227589",0,0,0,1,0
"ENSG00000227372",1413,1369,1116,1208,889
"ENSG00000162592",0,0,0,1,0
"ENSG00000235169",87,117,101,91,170
"ENSG00000130764",1481,1285,1364,1455,1220
"ENSG00000266075",3,0,2,1,1
"ENSG00000272153",11,5,1,6,7
"ENSG00000116198",531,585,533,376,345
"ENSG00000169598",136,165,123,107,103
"ENSG00000198912",426,335,463,408,271
"ENSG00000236423",8,7,6,5,0
"ENSG00000196581",11,11,20,25,8
"ENSG00000236948",0,0,0,1,0
"ENSG00000131697",362,311,297,336,273
"ENSG00000069424",120,133,127,126,107
"ENSG00000116254",30,12,14,9,23
"ENSG00000285629",0,1,0,0,0
"ENSG00000116251",1743,1381,1470,1614,1845
"ENSG00000226944",8,9,8,11,17
"ENSG00000158286",11877,9078,10899,11417,7255
"ENSG00000116237",1242,919,1248,997,985
"ENSG00000225077",9,4,1,3,3
"ENSG00000173673",0,0,1,0,0
"ENSG00000158292",764,649,607,536,279
"ENSG00000097021",703,485,483,412,547
"ENSG00000271746",3,1,1,0,1
"ENSG00000069812",2,0,1,1,1
"ENSG00000187017",22,48,41,16,574
"ENSG00000215788",509,374,638,390,341
"ENSG00000171680",1049,979,1274,1012,727
"ENSG00000162408",416,345,380,267,253
"ENSG00000173662",0,2,0,0,0
"ENSG00000204859",659,634,638,639,431
"ENSG00000162413",2207,1785,1474,1828,1434
"ENSG00000116273",653,700,626,635,566
"ENSG00000041988",377,377,400,346,377
"ENSG00000007923",2139,1724,1795,1875,1544
"ENSG00000237436",5,8,6,3,0
"ENSG00000171735",731,637,665,615,768
"ENSG00000227950",0,0,0,0,1
"ENSG00000237402",0,2,4,1,0
"ENSG00000225126",0,1,0,0,0
"ENSG00000270171",7,1,3,1,6
"ENSG00000270035",4,2,7,2,5
"ENSG00000269978",8,8,5,4,5
"ENSG00000049245",1215,1034,1011,1032,1037
"ENSG00000269925",36,17,21,24,15
"ENSG00000049246",272,395,627,1053,181
"ENSG00000236266",1,0,0,2,2
"ENSG00000049247",2,0,0,0,0
"ENSG00000049249",1,0,2,3,2
"ENSG00000116288",2533,2421,2623,2313,3042
"ENSG00000284747",12,7,8,15,8
"ENSG00000284716",0,0,1,0,0
"ENSG00000116285",324,320,285,305,368
"ENSG00000238290",5,9,7,7,2
"ENSG00000232848",1,0,0,1,0
"ENSG00000227634",0,0,3,3,1
"ENSG00000162426",38,34,33,16,39
"ENSG00000142599",3815,4214,3486,4700,2452
"ENSG00000232912",3,6,9,2,0
"ENSG00000221083",0,0,0,0,1
"ENSG00000234619",2,4,6,0,4
"ENSG00000224315",0,0,0,6,1
"ENSG00000228423",0,2,0,0,0
"ENSG00000074800",29718,30430,27109,22757,42821
"ENSG00000274258",2,1,1,8,7
"ENSG00000230679",0,1,2,1,2
"ENSG00000238249",27,27,28,16,21
"ENSG00000232208",4,0,2,1,1
"ENSG00000197241",2,0,3,1,0
"ENSG00000142583",30,81,64,74,20
"ENSG00000180758",193,237,224,299,142
"ENSG00000228526",30,56,82,59,28
"ENSG00000234546",4,1,9,2,8
"ENSG00000049239",2034,2163,1592,1826,1085
"ENSG00000171621",103,122,133,105,64
"ENSG00000284652",6,4,2,1,1
"ENSG00000284693",18,23,9,9,4
"ENSG00000171612",125,115,164,117,196
"ENSG00000231181",11,7,7,8,9
"ENSG00000188807",1362,1133,1023,1005,634
"ENSG00000171608",342,551,444,532,236
"ENSG00000231789",24,23,23,22,42
"ENSG00000171603",3505,3591,2852,2886,2391
"ENSG00000271264",0,0,0,0,1
"ENSG00000280113",1,0,1,0,0
"ENSG00000178585",880,962,1001,914,725
"ENSG00000285701",2,2,3,8,0
"ENSG00000162441",500,402,503,516,511
"ENSG00000228150",1,3,2,3,2
"ENSG00000173614",343,291,365,371,222
"ENSG00000202415",1,4,4,1,1
"ENSG00000283611",1,1,1,6,0
"ENSG00000265521",0,0,1,0,0
"ENSG00000162444",512,598,1280,1039,169
"ENSG00000130939",1896,2200,1695,2367,1472
"ENSG00000233623",0,2,0,0,0
"ENSG00000201746",6,6,1,1,6
"ENSG00000054523",2686,2234,3091,3179,1939
"ENSG00000264881",0,0,0,0,1
"ENSG00000199562",0,0,0,2,4
