"","ERR10763251","SRR980476","SRR3192453","SRR4421495"
"ENSG00000223972",0,1,0,0
"ENSG00000227232",12,54,31,24
"ENSG00000278267",0,7,0,0
"ENSG00000243485",0,0,0,1
"ENSG00000238009",0,1,1,0
"ENSG00000268903",0,1,0,7
"ENSG00000269981",0,1,0,0
"ENSG00000241860",1,16,26,256
"ENSG00000279928",0,3,5,0
"ENSG00000279457",11,166,24,49
"ENSG00000228463",2,19,0,0
"ENSG00000236679",0,1,0,0
"ENSG00000237094",5,22,74,10
"ENSG00000278757",0,1,0,0
"ENSG00000230021",1,5,10,19
"ENSG00000225972",2,0,1,0
"ENSG00000225630",902,66,7,36
"ENSG00000237973",227,137,15,52
"ENSG00000229344",1,6,0,0
"ENSG00000248527",2158,442,93,111
"ENSG00000198744",5,18,0,0
"ENSG00000228327",20,104,164,283
"ENSG00000223181",0,1,7,0
"ENSG00000237491",11,91,113,48
"ENSG00000230092",4,94,122,10
"ENSG00000177757",1,7,16,7
"ENSG00000228794",278,1257,503,279
"ENSG00000225880",6,32,26,41
"ENSG00000230368",2,0,8,0
"ENSG00000234711",1,0,0,0
"ENSG00000272438",15,4,9,3
"ENSG00000230699",53,34,20,2
"ENSG00000223764",75,87,21,19
"ENSG00000187634",377,465,142,47
"ENSG00000188976",992,3303,1476,767
"ENSG00000187961",188,216,65,0
"ENSG00000187583",3,4,0,0
"ENSG00000187642",3,300,97,40
"ENSG00000272512",11,21,22,8
"ENSG00000188290",124,1037,150,0
"ENSG00000187608",73,294,122,402
"ENSG00000231702",0,18,0,0
"ENSG00000224969",0,2,0,0
"ENSG00000188157",2053,2791,1382,106
"ENSG00000217801",0,7,5,2
"ENSG00000237330",0,4,0,0
"ENSG00000131591",153,277,135,72
"ENSG00000207730",1,0,0,0
"ENSG00000272141",1,0,0,0
"ENSG00000205231",0,1,0,0
"ENSG00000162571",4,5,0,1
"ENSG00000186891",11,79,14,0
"ENSG00000186827",11,92,28,102
"ENSG00000078808",1399,3374,866,1028
"ENSG00000176022",672,1574,394,43
"ENSG00000184163",16,215,17,1
"ENSG00000260179",1,13,17,0
"ENSG00000160087",758,1399,608,42
"ENSG00000230415",25,30,37,4
"ENSG00000162572",104,288,91,17
"ENSG00000131584",570,2927,1212,173
"ENSG00000169972",72,285,43,19
"ENSG00000127054",903,2726,728,3605
"ENSG00000240731",24,60,42,2
"ENSG00000224051",248,768,156,62
"ENSG00000169962",11,279,95,17
"ENSG00000107404",451,3549,1264,53
"ENSG00000162576",1283,4284,1236,272
"ENSG00000175756",509,1666,467,2133
"ENSG00000223663",1,0,0,0
"ENSG00000221978",3770,6984,3929,206
"ENSG00000224870",184,761,272,167
"ENSG00000242485",479,1854,531,7371
"ENSG00000272455",25,127,30,8
"ENSG00000235098",61,640,58,89
"ENSG00000225905",4,14,3,1
"ENSG00000205116",1,0,0,0
"ENSG00000225285",16,63,21,13
"ENSG00000179403",336,2624,588,96
"ENSG00000215915",12,11,14,0
"ENSG00000160072",265,1523,1021,31
"ENSG00000284740",1,18,16,3
"ENSG00000197785",217,715,225,11
"ENSG00000205090",73,81,17,19
"ENSG00000160075",1084,1977,1047,681
"ENSG00000215014",15,18,11,0
"ENSG00000228594",61,41,29,22
"ENSG00000272106",183,508,299,25
"ENSG00000197530",501,3314,1338,136
"ENSG00000189409",6,246,39,4
"ENSG00000248333",445,490,169,1102
"ENSG00000272004",1,25,20,20
"ENSG00000189339",1398,2998,1312,198
"ENSG00000269737",2,0,0,4
"ENSG00000215914",2,7,16,1
"ENSG00000008128",15,37,42,12
"ENSG00000268575",51,348,241,24
"ENSG00000227775",0,4,4,20
"ENSG00000215790",1132,1103,576,59
"ENSG00000008130",612,1051,472,79
"ENSG00000078369",5301,4760,2126,411
"ENSG00000231050",5,20,0,9
"ENSG00000169885",19,4612,1188,6257
"ENSG00000178821",23,1562,189,628
"ENSG00000142609",4,0,1,16
"ENSG00000233542",13,3,5,0
"ENSG00000187730",16,17,11,1
"ENSG00000067606",202,291,194,120
"ENSG00000182873",140,38,20,0
"ENSG00000162585",702,834,318,113
"ENSG00000234396",0,2,4,0
"ENSG00000157933",3700,2497,1078,198
"ENSG00000116151",109,477,286,51
"ENSG00000272161",2,0,0,0
"ENSG00000269896",71,88,20,0
"ENSG00000272420",5,21,9,8
"ENSG00000157916",1286,3017,1441,284
"ENSG00000157911",305,1262,433,45
"ENSG00000149527",2,18,14,3
"ENSG00000229393",1,0,0,0
"ENSG00000157881",143,792,429,130
"ENSG00000197921",0,8,0,0
"ENSG00000238164",0,1,3,0
"ENSG00000157873",13,181,82,71
"ENSG00000228037",0,2,0,4
"ENSG00000157870",45,115,32,1
"ENSG00000142606",11,3,5,0
"ENSG00000215912",0,4,0,3
"ENSG00000231630",1,0,0,0
"ENSG00000284745",1,1,0,0
"ENSG00000177133",484,87,44,5
"ENSG00000142611",1018,78,54,28
"ENSG00000283572",1,0,0,0
"ENSG00000279839",2,9,2,2
"ENSG00000272235",2,0,0,0
"ENSG00000130762",25,46,17,10
"ENSG00000272088",1,0,0,0
"ENSG00000162591",1234,2817,1298,87
"ENSG00000207776",0,1,0,0
"ENSG00000238260",7,4,0,19
"ENSG00000158109",423,834,438,32
"ENSG00000116213",244,477,240,68
"ENSG00000078900",26,86,34,11
"ENSG00000227589",0,1,0,0
"ENSG00000227372",715,1792,666,33
"ENSG00000235169",31,90,20,85
"ENSG00000130764",943,3039,1198,59
"ENSG00000266075",4,0,0,0
"ENSG00000272153",3,6,0,0
"ENSG00000116198",393,867,540,69
"ENSG00000169598",121,324,227,54
"ENSG00000198912",330,937,460,532
"ENSG00000236423",1,16,1,12
"ENSG00000233304",0,1,0,2
"ENSG00000235054",0,4,16,67
"ENSG00000196581",131,164,69,4
"ENSG00000284692",0,1,0,0
"ENSG00000236948",0,1,0,1
"ENSG00000131697",184,276,213,84
"ENSG00000069424",202,206,129,73
"ENSG00000116254",22,24,18,3
"ENSG00000285629",0,1,0,0
"ENSG00000116251",2629,8865,3026,570
"ENSG00000226944",2,11,0,3
"ENSG00000158286",215,1276,657,125
"ENSG00000116237",1298,4579,2508,123
"ENSG00000225077",6,2,6,3
"ENSG00000158292",286,1321,316,60
"ENSG00000097021",343,323,87,69
"ENSG00000271746",1,5,2,7
"ENSG00000069812",1,3,7,13
"ENSG00000187017",62,16,59,9
"ENSG00000231868",0,0,1,0
"ENSG00000215788",204,561,184,27
"ENSG00000171680",621,1808,821,344
"ENSG00000162408",708,2989,2019,124
"ENSG00000229519",0,1,0,0
"ENSG00000173662",2,196,96,17
"ENSG00000204859",236,871,336,177
"ENSG00000162413",298,3773,1386,121
"ENSG00000116273",749,1371,792,77
"ENSG00000041988",195,984,339,425
"ENSG00000007923",775,1964,817,1393
"ENSG00000237436",7,12,8,0
"ENSG00000171735",670,1285,724,3360
"ENSG00000237365",0,1,0,4
"ENSG00000207056",0,1,0,0
"ENSG00000237402",0,1,0,0
"ENSG00000225126",0,0,0,2
"ENSG00000270171",4,7,4,0
"ENSG00000270035",5,4,0,0
"ENSG00000269978",6,8,14,1
"ENSG00000049245",953,3204,1647,518
"ENSG00000269925",16,44,50,3
"ENSG00000049246",285,601,621,494
"ENSG00000236266",1,6,6,16
"ENSG00000049247",0,0,4,20
"ENSG00000049249",1,3,9,0
"ENSG00000116288",2124,5699,1950,8562
"ENSG00000284747",13,25,11,0
"ENSG00000116285",414,317,386,42
"ENSG00000238290",7,8,0,6
"ENSG00000232848",0,5,0,0
"ENSG00000227634",0,1,0,0
"ENSG00000162426",36,25,4,17
"ENSG00000142599",1969,4296,3898,534
"ENSG00000232912",0,4,0,9
"ENSG00000221083",0,6,13,0
"ENSG00000234619",0,1,0,0
"ENSG00000224315",1,18,66,11
"ENSG00000222511",1,1,29,0
"ENSG00000228423",2,33,29,3
"ENSG00000074800",6990,16536,5374,6801
"ENSG00000274258",0,2,4,0
"ENSG00000230679",2,5,6,8
"ENSG00000238249",60,2,1,0
"ENSG00000232208",0,0,0,1
"ENSG00000131686",0,0,0,2
"ENSG00000265141",0,8,1,0
"ENSG00000197241",1,0,5,2
"ENSG00000142583",14,340,722,176
"ENSG00000180758",78,153,123,6
"ENSG00000228526",7,53,47,20
"ENSG00000234546",0,2,3,0
"ENSG00000049239",2644,7127,3108,217
"ENSG00000171621",342,493,190,6
"ENSG00000284652",8,23,10,0
"ENSG00000284693",22,101,14,8
"ENSG00000235263",0,0,0,7
"ENSG00000171612",186,181,110,9
"ENSG00000231181",3,15,2,0
"ENSG00000188807",418,722,276,60
"ENSG00000171608",72,231,185,92
"ENSG00000231789",33,29,2,92
"ENSG00000171603",3578,5427,2340,437
"ENSG00000280113",0,2,10,0
"ENSG00000178585",1105,4563,1386,354
"ENSG00000223989",0,0,8,0
"ENSG00000162441",744,2435,1526,3044
"ENSG00000228150",1,9,10,0
"ENSG00000173614",165,897,426,614
"ENSG00000202415",0,18,11,0
"ENSG00000283611",0,0,4,0
"ENSG00000265521",1,3,0,0
"ENSG00000162444",7,90,35,337
"ENSG00000130939",1357,3506,1395,399
"ENSG00000233623",0,15,16,2
"ENSG00000201746",0,0,7,0
"ENSG00000054523",2137,25939,15829,1159
"ENSG00000264881",0,2,0,0
"ENSG00000199562",2,21,21,5
"ENSG00000284735",0,1,0,0
"ENSG00000284642",13,26,13,0
"ENSG00000142657",2592,2663,731,947
"ENSG00000175279",19,7,7,0
"ENSG00000241563",3,10,3,17
"ENSG00000160049",1232,3369,1597,776
"ENSG00000203469",0,0,8,0
"ENSG00000142655",228,608,244,294
"ENSG00000243267",0,1,0,0
"ENSG00000130940",108,2493,797,689
"ENSG00000272078",0,7,2,9
"ENSG00000175262",6,188,38,45
"ENSG00000215785",0,2,0,0
"ENSG00000120948",1526,889,606,25
"ENSG00000009724",0,0,0,9
"ENSG00000271895",30,62,6,0
"ENSG00000116649",739,506,97,97
"ENSG00000171824",1604,3347,1409,1927
"ENSG00000226849",20,36,15,2
"ENSG00000230337",4,6,2,0
"ENSG00000198793",1119,5027,2536,406
"ENSG00000171819",18,67,69,118
"ENSG00000238173",0,3,0,0
"ENSG00000120942",347,696,284,116
"ENSG00000284646",0,2,0,0
"ENSG00000204624",38,22,11,0
"ENSG00000285833",1,0,0,0
"ENSG00000116661",41,21,8,0
"ENSG00000132879",124,241,40,92
"ENSG00000116663",40,215,43,69
"ENSG00000116670",503,1026,229,370
"ENSG00000162490",126,61,10,0
"ENSG00000177674",101,714,234,249
"ENSG00000215910",2,586,110,614
"ENSG00000177553",0,1,0,0
"ENSG00000177000",808,5287,2335,490
"ENSG00000011021",477,1033,583,219
"ENSG00000175206",0,22,77,79
"ENSG00000120937",1,1,4,10
"ENSG00000285646",0,28,202,0
"ENSG00000201801",0,3,110,14
"ENSG00000116685",558,1825,526,21
"ENSG00000083444",3373,9137,2577,1267
"ENSG00000116688",1262,6425,1764,579
"ENSG00000116691",235,845,299,211
"ENSG00000120949",3,19,9,2
"ENSG00000227875",0,1,0,0
"ENSG00000028137",117,969,419,34
"ENSG00000263676",0,0,2,0
"ENSG00000048707",864,6694,4694,789
"ENSG00000239149",1,5,11,21
"ENSG00000229484",0,1,4,0
"ENSG00000162496",679,1502,776,264
"ENSG00000221340",3,7,2,0
"ENSG00000276830",1,1,0,0
"ENSG00000272482",10,25,30,19
"ENSG00000204518",0,3,0,0
"ENSG00000188984",0,0,7,2
"ENSG00000157330",0,21,0,9
"ENSG00000162494",11,809,150,60
"ENSG00000259961",0,8,0,40
"ENSG00000215909",0,0,8,0
"ENSG00000162493",693,1241,336,1178
"ENSG00000222952",1,0,0,0
"ENSG00000116731",1748,2117,1312,1141
"ENSG00000189337",515,769,530,89
"ENSG00000235829",0,0,0,6
"ENSG00000175147",38,225,54,6
"ENSG00000171729",244,315,84,38
"ENSG00000278480",0,2,0,0
"ENSG00000142621",52,93,37,52
"ENSG00000233485",0,33,6,12
"ENSG00000236045",0,2,2,0
"ENSG00000228140",0,10,6,0
"ENSG00000142634",583,1282,330,170
"ENSG00000162438",2,3,18,3
"ENSG00000142615",0,2,2,0
"ENSG00000215704",0,64,41,85
"ENSG00000132906",269,727,292,93
"ENSG00000116138",393,1780,1019,809
"ENSG00000251866",0,4,12,0
"ENSG00000272510",0,2,5,0
"ENSG00000116771",15,341,131,18
"ENSG00000237301",0,10,18,35
"ENSG00000235084",9,14,4,2
"ENSG00000197312",575,3627,2350,123
"ENSG00000116786",919,3361,1484,171
"ENSG00000237938",1,2,0,0
"ENSG00000162461",47,566,142,44
"ENSG00000224459",0,1,0,3
"ENSG00000162460",0,2,5,0
"ENSG00000162458",999,1476,455,191
"ENSG00000224321",2,2,0,0
"ENSG00000233954",63,554,172,372
"ENSG00000178715",17,4,0,0
"ENSG00000179743",71,157,103,327
"ENSG00000065526",1854,4663,2288,393
"ENSG00000116809",465,1491,550,405
"ENSG00000173641",76,2599,498,950
"ENSG00000186510",7,26,13,4
"ENSG00000232456",0,1,0,0
"ENSG00000184908",24,18,5,0
"ENSG00000185519",4,3,0,0
"ENSG00000142627",222,427,352,33
"ENSG00000227959",3,3,3,12
"ENSG00000224621",3,2,0,0
"ENSG00000142632",263,92,64,23
"ENSG00000237276",1,10,0,4
"ENSG00000132881",31,104,54,1
"ENSG00000233929",0,2,2,0
"ENSG00000037637",679,1946,1259,458
"ENSG00000055070",2335,4955,546,1859
"ENSG00000226457",2,5,0,0
"ENSG00000187144",6,2,2,0
"ENSG00000157191",666,2467,1073,980
"ENSG00000226029",20,74,45,3
"ENSG00000080947",202,861,577,129
"ENSG00000206652",0,21,145,83
"ENSG00000261135",3,2,11,0
"ENSG00000233421",0,19,6,0
"ENSG00000219481",636,7410,3506,549
"ENSG00000271732",0,5,0,0
"ENSG00000215908",522,1488,686,202
"ENSG00000186301",23,39,16,9
"ENSG00000207513",0,0,3,0
"ENSG00000280114",2,4,0,0
"ENSG00000236698",9,29,9,17
"ENSG00000268869",1,27,3,0
"ENSG00000058453",776,1472,677,199
"ENSG00000227684",0,1,2,0
"ENSG00000207389",0,4,9,0
"ENSG00000186715",2,20,7,0
"ENSG00000228549",0,8,3,1
"ENSG00000238142",46,264,41,568
"ENSG00000207005",1,29,114,92
"ENSG00000272426",0,6,16,22
"ENSG00000117122",2700,1679,220,7680
"ENSG00000226526",0,1,0,0
"ENSG00000159363",325,689,220,49
"ENSG00000117118",421,3227,1198,1170
"ENSG00000117115",26,5182,2057,281
"ENSG00000142623",0,6,4,3
"ENSG00000142619",0,0,9,0
"ENSG00000159339",2,4,14,20
"ENSG00000179051",302,867,451,51
"ENSG00000074964",337,1603,941,235
"ENSG00000236648",0,1,0,0
"ENSG00000117148",1,0,0,0
"ENSG00000117154",14,3,0,2
"ENSG00000280222",0,1,0,0
"ENSG00000225387",1,10,7,1
"ENSG00000179023",0,1,0,0
"ENSG00000009709",417,4837,934,242
"ENSG00000255275",0,3,0,0
"ENSG00000159423",141,291,113,16
"ENSG00000169991",209,501,220,19
"ENSG00000272084",8,24,29,2
"ENSG00000127481",2182,10618,6589,616
"ENSG00000230424",19,32,24,215
"ENSG00000127463",1204,4283,2677,409
"ENSG00000053372",655,1872,608,815
"ENSG00000211454",10,33,15,0
"ENSG00000162482",17,63,36,4
"ENSG00000270728",0,1,0,1
"ENSG00000053371",469,1565,660,68
