"","ERR10763274","ERR10763275","SRR786776","SRR3192454","SRR4421494","SRR9887771"
"ENSG00000227232",8,8,3,26,1,79
"ENSG00000278267",0,1,0,0,0,0
"ENSG00000238009",0,0,0,3,0,1
"ENSG00000268903",4,0,0,0,2,26
"ENSG00000269981",3,1,0,0,0,2
"ENSG00000241860",1,2,0,2,237,2
"ENSG00000279457",16,21,0,81,29,3
"ENSG00000228463",5,3,0,4,6,3
"ENSG00000237094",10,1,0,78,3,0
"ENSG00000230021",3,0,0,2,5,6
"ENSG00000225972",3,1,4,0,0,33
"ENSG00000225630",791,824,433,3,31,80
"ENSG00000237973",223,249,305,14,160,26242
"ENSG00000229344",2,2,2,0,0,29
"ENSG00000240409",0,0,1,0,0,0
"ENSG00000248527",1780,2319,778,21,58,1091
"ENSG00000198744",5,1,146,0,0,27
"ENSG00000228327",17,19,8,100,140,29
"ENSG00000223181",0,0,0,10,0,0
"ENSG00000237491",12,9,12,38,7,7
"ENSG00000230092",2,6,0,251,5,12
"ENSG00000177757",1,1,0,7,5,2
"ENSG00000228794",283,283,26,393,156,458
"ENSG00000225880",4,10,0,3,20,51
"ENSG00000230368",2,0,0,0,0,0
"ENSG00000234711",0,1,16,0,0,0
"ENSG00000283040",0,0,3,0,0,0
"ENSG00000272438",12,19,0,0,0,0
"ENSG00000230699",43,48,0,1,0,1
"ENSG00000241180",1,0,0,0,0,0
"ENSG00000223764",90,78,17,16,2,2
"ENSG00000187634",397,557,1,69,8,93
"ENSG00000188976",892,1055,129,1752,508,431
"ENSG00000187961",155,255,13,38,13,12
"ENSG00000187583",6,5,17,1,0,0
"ENSG00000187642",0,0,3,88,24,0
"ENSG00000272512",5,14,0,0,0,1
"ENSG00000188290",117,130,0,91,9,267
"ENSG00000187608",55,78,17,156,453,393
"ENSG00000231702",0,0,0,4,0,0
"ENSG00000224969",1,0,0,0,5,3
"ENSG00000188157",2538,3876,907,1486,155,7
"ENSG00000217801",2,1,0,0,1,2
"ENSG00000237330",0,1,0,0,0,0
"ENSG00000131591",172,169,30,95,90,36
"ENSG00000198976",1,0,0,0,0,0
"ENSG00000272141",1,2,24,0,0,0
"ENSG00000162571",3,12,12,0,5,0
"ENSG00000186891",5,19,0,20,0,11
"ENSG00000186827",2,6,14,5,79,19
"ENSG00000078808",1424,1623,473,768,299,915
"ENSG00000176022",597,599,50,381,48,639
"ENSG00000184163",13,26,86,23,8,40
"ENSG00000260179",0,3,0,2,0,0
"ENSG00000160087",622,785,105,654,13,600
"ENSG00000230415",22,21,16,26,0,0
"ENSG00000162572",88,106,61,50,5,13
"ENSG00000131584",576,642,274,1010,117,77
"ENSG00000169972",91,94,9,82,3,41
"ENSG00000127054",738,990,251,644,3089,447
"ENSG00000240731",17,16,21,35,0,11
"ENSG00000224051",248,287,89,243,44,60
"ENSG00000169962",12,10,0,80,7,0
"ENSG00000107404",401,637,132,1424,70,243
"ENSG00000162576",1006,1907,812,1350,181,1116
"ENSG00000175756",368,536,110,542,2477,1969
"ENSG00000221978",3019,3061,517,1820,90,1185
"ENSG00000224870",200,239,112,156,79,211
"ENSG00000242485",444,484,55,585,4449,1606
"ENSG00000272455",38,29,2,37,0,7
"ENSG00000235098",46,62,27,114,87,75
"ENSG00000225905",8,3,0,0,0,0
"ENSG00000205116",0,0,4,0,4,0
"ENSG00000225285",3,8,0,16,5,21
"ENSG00000179403",322,613,183,682,112,1190
"ENSG00000215915",8,10,3,0,0,3
"ENSG00000160072",234,303,24,1662,13,20
"ENSG00000284740",0,2,0,13,9,0
"ENSG00000197785",231,274,29,243,25,34
"ENSG00000205090",83,114,0,19,28,6
"ENSG00000160075",1031,1227,114,1019,419,616
"ENSG00000215014",18,15,17,0,3,17
"ENSG00000228594",75,78,0,0,10,14
"ENSG00000272106",184,200,16,337,123,71
"ENSG00000197530",442,585,141,1411,76,110
"ENSG00000189409",10,8,9,53,0,10
"ENSG00000248333",421,439,29,213,695,524
"ENSG00000272004",2,5,0,0,14,2
"ENSG00000189339",1648,2253,111,809,111,219
"ENSG00000269737",1,2,12,0,0,31
"ENSG00000215914",0,1,0,4,0,0
"ENSG00000008128",10,15,0,41,14,5
"ENSG00000268575",52,79,7,203,6,1
"ENSG00000227775",1,3,5,0,30,1
"ENSG00000215790",393,485,48,860,83,88
"ENSG00000008130",629,703,149,458,27,98
"ENSG00000078369",5090,5584,1069,2063,271,1682
"ENSG00000231050",7,3,1,11,10,1
"ENSG00000169885",18,14,0,2287,5065,15
"ENSG00000178821",17,24,31,313,104,41
"ENSG00000142609",0,2,4,4,1,2
"ENSG00000233542",5,28,6,0,0,0
"ENSG00000187730",15,10,0,4,0,2
"ENSG00000067606",156,226,240,60,41,25
"ENSG00000271806",0,0,2,0,0,0
"ENSG00000182873",154,136,33,10,0,20
"ENSG00000162585",635,829,120,232,117,826
"ENSG00000234396",0,1,0,0,0,1
"ENSG00000157933",3982,4587,330,1510,321,343
"ENSG00000116151",114,111,28,193,52,50
"ENSG00000272161",1,0,0,8,0,1
"ENSG00000269896",78,60,23,12,11,10
"ENSG00000272420",3,6,12,2,11,14
"ENSG00000157916",1276,1294,243,1384,206,1853
"ENSG00000157911",292,316,12,749,96,166
"ENSG00000149527",3,2,6,2,0,0
"ENSG00000157881",138,134,8,382,121,9
"ENSG00000197921",0,0,0,4,0,0
"ENSG00000238164",0,0,0,2,0,7
"ENSG00000157873",13,9,77,114,36,1
"ENSG00000157870",39,74,28,39,4,3
"ENSG00000142606",13,22,0,14,2,0
"ENSG00000215912",0,0,0,7,0,0
"ENSG00000177133",172,314,106,13,0,11
"ENSG00000142611",468,1005,117,69,41,16
"ENSG00000279839",3,1,0,17,0,0
"ENSG00000272235",1,4,0,0,0,0
"ENSG00000130762",16,25,145,17,6,3
"ENSG00000272088",1,0,0,0,0,0
"ENSG00000162591",1093,1429,59,814,112,21
"ENSG00000207776",0,1,0,0,0,0
"ENSG00000238260",6,6,0,5,4,2
"ENSG00000158109",416,491,297,635,35,91
"ENSG00000116213",211,235,39,227,78,275
"ENSG00000078900",22,23,0,1,0,17
"ENSG00000227372",643,699,58,589,43,196
"ENSG00000162592",0,0,0,0,0,2
"ENSG00000235169",25,41,98,11,144,68
"ENSG00000130764",838,913,70,1654,61,351
"ENSG00000266075",8,7,0,0,0,31
"ENSG00000272153",6,12,0,4,0,5
"ENSG00000116198",359,328,111,511,42,176
"ENSG00000169598",102,121,105,101,31,65
"ENSG00000198912",364,370,57,456,225,558
"ENSG00000236423",3,3,25,9,1,9
"ENSG00000233304",0,0,2,0,0,0
"ENSG00000284668",0,0,4,0,0,0
"ENSG00000284703",0,0,2,0,0,0
"ENSG00000235054",0,0,0,0,20,1
"ENSG00000284694",0,0,5,0,0,0
"ENSG00000196581",164,69,4,78,0,9
"ENSG00000284674",0,0,0,0,0,1
"ENSG00000260972",0,0,15,0,0,0
"ENSG00000264101",1,0,0,0,0,0
"ENSG00000131697",143,273,9,187,40,83
"ENSG00000069424",203,232,116,96,52,37
"ENSG00000116254",13,34,28,1,6,0
"ENSG00000285629",0,0,0,6,0,0
"ENSG00000116251",2360,2370,513,2992,522,6380
"ENSG00000226944",1,1,0,0,0,2
"ENSG00000158286",257,176,54,367,66,125
"ENSG00000116237",1249,1402,285,1985,90,478
"ENSG00000225077",1,2,6,0,10,0
"ENSG00000158292",432,327,150,287,28,102
"ENSG00000097021",337,404,23,63,58,128
"ENSG00000271746",2,5,0,1,0,0
"ENSG00000069812",4,3,0,0,0,1
"ENSG00000187017",47,73,471,40,32,4
"ENSG00000231868",0,0,5,0,0,0
"ENSG00000215788",177,152,124,56,39,17
"ENSG00000171680",429,540,87,536,160,49
"ENSG00000162408",662,689,90,1957,88,231
"ENSG00000173662",0,0,0,186,6,12
"ENSG00000204859",209,252,135,272,89,77
"ENSG00000162413",425,375,39,1725,85,125
"ENSG00000116273",654,725,69,910,85,339
"ENSG00000041988",185,226,24,374,394,473
"ENSG00000007923",708,819,57,772,886,277
"ENSG00000228750",0,0,0,0,0,1
"ENSG00000237436",2,5,0,0,0,24
"ENSG00000171735",625,545,79,558,1043,6886
"ENSG00000227950",0,0,3,0,0,0
"ENSG00000207056",0,0,0,0,0,1
"ENSG00000237402",0,0,0,4,0,3
"ENSG00000270171",2,2,3,5,0,5
"ENSG00000270035",4,2,0,0,0,4
"ENSG00000269978",10,5,0,0,0,4
"ENSG00000049245",951,788,274,1611,746,1004
"ENSG00000269925",7,11,0,5,0,5
"ENSG00000049246",289,279,40,653,157,79
"ENSG00000236266",0,1,0,3,11,9
"ENSG00000049247",1,0,5,15,11,1
"ENSG00000049249",1,0,17,3,0,2
"ENSG00000270330",0,0,2,0,0,0
"ENSG00000116288",1820,2060,208,2648,6923,7836
"ENSG00000284747",12,15,0,2,0,6
"ENSG00000284716",0,0,0,0,0,9
"ENSG00000116285",290,291,130,163,8,185
"ENSG00000238290",4,3,0,0,0,68
"ENSG00000232848",0,0,2,0,0,0
"ENSG00000229305",0,0,2,0,0,0
"ENSG00000227634",0,0,0,0,0,1
"ENSG00000162426",34,38,0,10,34,5
"ENSG00000142599",2112,2009,524,4795,730,499
"ENSG00000232912",1,0,8,2,0,7
"ENSG00000221083",0,2,9,0,0,5
"ENSG00000234619",0,0,0,0,0,1
"ENSG00000224315",2,2,0,43,6,3
"ENSG00000222511",0,0,0,24,0,8
"ENSG00000226545",0,0,5,3,0,0
"ENSG00000228423",1,2,0,40,0,4
"ENSG00000074800",5910,8177,2078,6740,5974,5022
"ENSG00000274258",0,0,0,2,0,0
"ENSG00000230679",2,2,0,0,0,18
"ENSG00000238249",33,25,6,1,0,2
"ENSG00000131686",0,0,0,0,1,0
"ENSG00000265141",0,0,0,3,0,0
"ENSG00000197241",1,0,3,3,0,0
"ENSG00000142583",20,14,200,454,61,6
"ENSG00000252404",0,0,9,0,0,0
"ENSG00000180758",30,85,175,178,0,15
"ENSG00000228526",3,3,0,8,4,1
"ENSG00000234546",0,0,3,0,0,0
"ENSG00000049239",2729,3274,280,3184,241,806
"ENSG00000171621",272,467,140,286,37,140
"ENSG00000284652",8,9,0,14,0,7
"ENSG00000284693",26,20,5,58,8,31
"ENSG00000171612",123,230,29,101,10,216
"ENSG00000231181",5,1,0,2,0,0
"ENSG00000188807",425,528,61,328,62,148
"ENSG00000171608",74,68,99,220,94,6
"ENSG00000231789",24,28,2,7,85,102
"ENSG00000171603",3517,4393,386,2943,495,1301
"ENSG00000280113",0,1,3,3,0,0
"ENSG00000178585",853,1027,105,1344,141,400
"ENSG00000223989",0,0,0,0,9,0
"ENSG00000285701",0,0,0,0,0,5
"ENSG00000162441",735,693,118,1316,2006,847
"ENSG00000228150",0,0,16,9,0,2
"ENSG00000173614",181,185,23,495,502,228
"ENSG00000202415",0,0,0,9,0,0
"ENSG00000162444",6,8,0,77,615,41
"ENSG00000130939",1357,1337,252,1670,374,219
"ENSG00000224340",0,0,14,0,0,0
"ENSG00000233623",1,1,1,22,0,0
"ENSG00000201746",1,1,7,6,0,0
"ENSG00000054523",2850,2063,294,12298,618,1111
"ENSG00000199562",2,2,0,17,0,94
"ENSG00000284735",1,1,3,3,0,1
"ENSG00000284642",12,9,0,10,3,7
"ENSG00000142657",2606,2627,236,1192,679,1611
"ENSG00000271989",1,2,0,0,0,3
"ENSG00000175279",16,10,2,3,0,116
"ENSG00000241563",0,0,0,7,21,0
"ENSG00000160049",1002,1112,222,1336,615,1239
"ENSG00000203469",2,0,0,2,0,9
"ENSG00000142655",237,290,29,246,95,211
"ENSG00000243267",1,0,0,2,0,0
"ENSG00000130940",195,105,78,1027,519,43
"ENSG00000272078",1,0,0,0,0,0
"ENSG00000175262",8,2,0,52,8,0
"ENSG00000120948",1250,1110,84,503,17,2064
"ENSG00000009724",3,0,0,8,0,1
"ENSG00000271895",26,17,21,4,0,1
"ENSG00000116649",770,995,0,126,67,945
"ENSG00000171824",1298,1589,188,987,1136,901
"ENSG00000226849",12,9,0,14,2,10
"ENSG00000230337",3,1,0,0,0,5
"ENSG00000198793",1029,1214,135,2775,372,281
"ENSG00000225602",0,0,0,0,0,1
"ENSG00000171819",19,15,0,90,42,22
"ENSG00000207451",0,0,1,0,0,0
"ENSG00000120942",334,388,77,285,75,505
"ENSG00000284646",2,1,12,0,0,0
