"","SRR3111523","SRR3111524","SRR3111527","SRR3111530","SRR3111531","SRR3111532","SRR3111536","SRR3111537"
"ENSG00000223972",1,3,3,4,0,6,2,2
"ENSG00000227232",105,130,130,91,102,83,55,55
"ENSG00000278267",22,21,21,17,19,14,14,1
"ENSG00000243485",0,0,0,0,1,3,0,0
"ENSG00000238009",2,3,3,8,8,0,2,0
"ENSG00000233750",0,0,0,0,0,7,0,0
"ENSG00000268903",2,7,7,15,29,3,18,6
"ENSG00000269981",5,6,6,15,18,4,7,5
"ENSG00000239906",2,1,1,1,2,0,3,1
"ENSG00000241860",18,29,29,19,69,37,17,15
"ENSG00000222623",0,0,0,1,0,0,0,0
"ENSG00000241599",0,0,0,0,0,1,0,0
"ENSG00000279928",7,11,11,11,6,5,0,2
"ENSG00000279457",145,278,278,191,241,161,144,102
"ENSG00000273874",0,0,0,0,0,1,0,0
"ENSG00000228463",27,43,43,58,43,39,15,41
"ENSG00000236679",0,1,1,1,1,0,1,0
"ENSG00000236601",1,7,7,7,31,10,6,14
"ENSG00000237094",67,81,81,180,187,169,83,50
"ENSG00000250575",0,0,0,0,1,0,0,0
"ENSG00000278757",2,1,1,2,4,2,4,0
"ENSG00000230021",14,22,22,39,37,33,17,14
"ENSG00000235146",3,11,11,9,8,1,8,17
"ENSG00000225972",2,5,5,0,3,5,0,0
"ENSG00000225630",49,82,82,180,125,90,334,59
"ENSG00000237973",151,162,162,482,547,331,229,103
"ENSG00000278791",2,0,0,3,3,0,1,0
"ENSG00000229344",31,42,42,98,116,74,44,29
"ENSG00000240409",0,0,0,0,0,1,0,0
"ENSG00000248527",303,366,366,576,686,516,389,237
"ENSG00000198744",24,30,30,63,61,54,21,9
"ENSG00000268663",0,0,0,0,0,1,0,0
"ENSG00000229376",0,0,0,0,0,11,0,0
"ENSG00000228327",143,127,127,280,380,195,189,93
"ENSG00000223181",6,4,4,3,2,4,6,3
"ENSG00000229905",0,0,0,0,0,3,0,0
"ENSG00000237491",40,80,80,170,112,186,100,28
"ENSG00000230092",64,92,92,118,140,51,98,56
"ENSG00000177757",1,2,2,1,1,49,4,1
"ENSG00000228794",175,222,222,275,324,361,239,93
"ENSG00000225880",37,57,57,95,80,46,57,23
"ENSG00000230368",13,5,5,14,19,6,6,2
"ENSG00000234711",0,0,0,0,0,4,0,0
"ENSG00000272438",0,0,0,0,0,0,1,1
"ENSG00000230699",0,0,0,10,11,2,10,1
"ENSG00000223764",0,0,0,7,7,4,3,4
"ENSG00000187634",3,5,5,11,5,16,0,10
"ENSG00000188976",850,1197,1197,1069,1433,984,900,518
"ENSG00000187961",62,80,80,98,124,103,88,40
"ENSG00000187583",14,11,11,7,14,2,9,7
"ENSG00000187642",0,2,2,1,9,2,1,0
"ENSG00000272512",8,6,6,31,22,25,11,4
"ENSG00000188290",41,42,42,116,111,174,72,28
"ENSG00000187608",284,231,231,128,443,229,118,144
"ENSG00000231702",3,3,3,3,11,0,3,1
"ENSG00000224969",0,0,0,1,0,4,1,1
"ENSG00000188157",308,327,327,741,1371,1589,751,269
"ENSG00000217801",0,1,1,1,5,8,1,2
"ENSG00000237330",45,117,117,85,86,35,16,116
"ENSG00000131591",121,148,148,150,216,149,141,72
"ENSG00000285812",0,0,0,1,0,52,0,0
"ENSG00000207730",0,0,0,0,0,2,0,0
"ENSG00000207607",0,0,0,0,0,5,0,0
"ENSG00000198976",0,0,0,0,0,2,0,0
"ENSG00000272141",0,0,0,0,1,16,0,0
"ENSG00000205231",20,33,33,60,129,41,55,23
"ENSG00000162571",21,55,55,50,87,89,27,19
"ENSG00000186891",3,2,2,7,3,3,1,2
"ENSG00000186827",35,54,54,109,72,78,48,29
"ENSG00000078808",1570,2661,2661,2828,4998,2624,2492,1688
"ENSG00000176022",156,219,219,256,319,235,203,99
"ENSG00000184163",15,16,16,23,36,9,10,8
"ENSG00000260179",16,17,17,38,49,35,20,15
"ENSG00000160087",778,1122,1122,1357,1584,959,801,588
"ENSG00000230415",9,5,5,16,20,12,4,4
"ENSG00000162572",34,38,38,42,73,75,38,29
"ENSG00000131584",1541,2144,2144,2354,2475,1472,1734,1212
"ENSG00000169972",116,251,251,224,243,125,142,94
"ENSG00000127054",1834,2180,2180,2757,3262,2050,2072,1384
"ENSG00000240731",133,154,154,214,346,206,178,135
"ENSG00000224051",273,473,473,501,510,272,308,144
"ENSG00000169962",46,67,67,64,54,110,34,25
"ENSG00000107404",1417,1987,1987,1794,2225,1127,1149,666
"ENSG00000162576",362,395,395,673,978,928,474,281
"ENSG00000175756",355,571,571,418,614,370,426,278
"ENSG00000223663",0,0,0,0,1,0,1,0
"ENSG00000221978",4679,5122,5122,4719,8911,4768,4008,3066
"ENSG00000224870",305,443,443,386,591,372,306,238
"ENSG00000242485",712,873,873,703,1301,524,652,422
"ENSG00000272455",65,122,122,108,96,77,55,35
"ENSG00000235098",90,160,160,98,185,104,106,66
"ENSG00000225905",1,4,4,2,5,1,2,0
"ENSG00000205116",2,0,0,1,0,7,3,1
"ENSG00000225285",32,50,50,29,38,23,22,29
"ENSG00000179403",1248,2902,2902,2365,2767,1347,2056,1477
"ENSG00000215915",50,134,134,181,89,39,42,59
"ENSG00000160072",1212,1788,1788,1670,1866,1462,1277,839
"ENSG00000284740",4,12,12,8,8,0,2,7
"ENSG00000197785",331,501,501,443,525,497,403,258
"ENSG00000205090",17,35,35,29,35,49,16,12
"ENSG00000160075",1216,1610,1610,1771,2457,1499,1254,773
"ENSG00000215014",15,23,23,24,21,49,11,13
"ENSG00000274481",0,2,2,1,5,0,0,0
"ENSG00000228594",11,11,11,7,13,12,11,1
"ENSG00000272106",99,156,156,165,221,104,142,89
"ENSG00000197530",967,1451,1451,1492,1601,1503,894,651
"ENSG00000189409",21,11,11,31,15,35,16,7
"ENSG00000248333",481,648,648,636,981,784,491,463
"ENSG00000272004",8,15,15,12,28,1,14,5
"ENSG00000189339",1027,1396,1396,2085,2882,1762,1702,728
"ENSG00000269737",5,4,4,3,3,189,2,2
"ENSG00000215914",6,8,8,1,10,2,2,3
"ENSG00000008128",48,76,76,35,110,80,51,30
"ENSG00000268575",257,280,280,277,633,149,282,179
"ENSG00000227775",6,7,7,7,3,36,6,3
"ENSG00000215790",903,1187,1187,609,1434,565,743,587
"ENSG00000008130",1484,2013,2013,2113,2414,1731,1576,928
"ENSG00000078369",2084,2725,2725,3627,5810,3470,2800,1336
"ENSG00000231050",3,9,9,8,7,4,5,1
"ENSG00000169885",13,5,5,7,15,11,6,9
"ENSG00000178821",0,4,4,2,0,0,1,2
"ENSG00000142609",8,14,14,13,17,10,10,16
"ENSG00000233542",0,0,0,1,0,0,0,1
"ENSG00000187730",0,2,2,2,1,2,2,0
"ENSG00000226969",0,2,2,2,3,0,1,1
"ENSG00000067606",7527,14407,14407,9168,14291,5392,10226,5208
"ENSG00000271806",1,2,2,1,0,623,1,0
"ENSG00000182873",9,5,5,10,11,687,7,9
"ENSG00000162585",199,240,240,381,380,469,252,138
"ENSG00000234396",0,0,0,2,1,1,0,1
"ENSG00000157933",628,907,907,1943,2132,1615,1246,560
"ENSG00000116151",134,170,170,199,287,213,140,86
"ENSG00000272161",0,0,0,1,3,1,0,0
"ENSG00000269896",17,19,19,28,32,30,12,11
"ENSG00000272420",3,4,4,8,10,10,8,0
"ENSG00000157916",2614,3703,3703,3213,5725,2397,2801,1750
"ENSG00000157911",432,596,596,437,780,262,477,237
"ENSG00000149527",10,8,8,13,25,9,6,9
"ENSG00000157881",495,640,640,550,754,390,409,263
"ENSG00000197921",1,4,4,2,3,3,4,0
"ENSG00000238164",3,6,6,3,7,1,8,1
"ENSG00000157873",121,138,138,183,287,187,182,68
"ENSG00000228037",1,2,2,2,5,2,1,3
"ENSG00000157870",22,26,26,68,88,63,52,15
"ENSG00000142606",1,1,1,1,11,4,3,4
"ENSG00000215912",0,0,0,4,0,1,5,0
"ENSG00000177133",11,5,5,36,9,16,15,6
"ENSG00000142611",11,7,7,44,31,18,24,13
"ENSG00000283572",0,0,0,1,0,0,0,0
"ENSG00000226286",0,0,0,0,0,3,0,0
"ENSG00000279839",1,1,1,3,0,4,2,1
"ENSG00000272235",0,0,0,0,0,7,0,1
"ENSG00000130762",698,889,889,1112,1295,666,757,582
"ENSG00000272088",5,1,1,6,15,3,0,5
"ENSG00000162591",220,138,138,225,354,271,168,83
"ENSG00000238260",3,9,9,6,14,1,5,5
"ENSG00000158109",597,799,799,417,1240,613,640,320
"ENSG00000116213",347,449,449,544,698,439,383,224
"ENSG00000078900",27,19,19,36,18,26,31,4
"ENSG00000227589",3,1,1,3,2,6,10,2
"ENSG00000227372",496,516,516,598,898,567,468,252
"ENSG00000162592",0,0,0,0,1,2,0,0
"ENSG00000235169",12,13,13,12,14,12,7,13
"ENSG00000130764",1010,1459,1459,1239,1925,859,1018,683
"ENSG00000266075",0,0,0,0,3,7,0,0
"ENSG00000272153",1,0,0,0,4,34,0,0
"ENSG00000116198",1010,1093,1093,1206,2102,1087,831,665
"ENSG00000169598",106,125,125,121,230,119,112,64
"ENSG00000198912",437,578,578,567,820,465,497,332
"ENSG00000236423",19,40,40,31,19,22,9,11
"ENSG00000284668",0,2,2,0,0,0,0,0
"ENSG00000229280",0,0,0,1,0,0,0,0
"ENSG00000196581",2,1,1,8,9,6,3,0
"ENSG00000284692",1,1,1,0,1,0,0,0
"ENSG00000264101",0,2,2,2,1,1,0,0
