"","SRR3111525","SRR3111526","SRR3111528","SRR3111529","SRR3111533","SRR3111534","SRR3111535","SRR3111538"
"ENSG00000223972",2,2,0,2,2,2,2,1
"ENSG00000227232",22,30,44,135,25,77,64,63
"ENSG00000278267",5,6,23,41,10,16,7,13
"ENSG00000243485",0,0,0,0,0,1,0,0
"ENSG00000237613",0,0,0,0,0,0,0,1
"ENSG00000238009",1,1,0,10,2,1,4,3
"ENSG00000233750",0,3,0,0,0,0,0,0
"ENSG00000268903",0,3,0,9,2,4,4,17
"ENSG00000269981",0,3,3,6,0,3,6,22
"ENSG00000239906",0,0,3,2,0,0,0,1
"ENSG00000241860",15,17,21,47,22,19,18,26
"ENSG00000222623",1,0,0,0,0,0,0,0
"ENSG00000279928",2,9,3,4,3,3,5,4
"ENSG00000279457",63,86,170,335,148,84,213,160
"ENSG00000273874",0,0,1,2,1,0,0,0
"ENSG00000228463",14,49,31,60,36,48,32,18
"ENSG00000236679",0,0,1,1,1,2,0,0
"ENSG00000236601",6,3,18,16,3,9,12,13
"ENSG00000237094",34,47,75,200,93,91,79,131
"ENSG00000250575",0,0,0,0,1,0,0,0
"ENSG00000278757",0,0,1,1,0,0,3,0
"ENSG00000230021",7,21,31,46,23,19,29,19
"ENSG00000235146",7,0,13,8,1,10,6,7
"ENSG00000225972",1,9,3,7,2,0,3,6
"ENSG00000225630",42,85,68,137,4,56,113,112
"ENSG00000237973",137,192,263,1135,395,174,224,277
"ENSG00000278791",1,0,1,5,10,0,0,2
"ENSG00000229344",14,29,51,161,70,29,47,44
"ENSG00000240409",0,1,0,0,1,0,0,0
"ENSG00000248527",126,432,205,860,233,388,374,485
"ENSG00000198744",13,41,30,133,4,23,36,20
"ENSG00000268663",0,1,0,0,0,0,0,0
"ENSG00000229376",0,9,0,0,0,0,0,0
"ENSG00000228327",67,112,97,360,97,117,147,225
"ENSG00000223181",5,3,4,9,0,4,2,3
"ENSG00000229905",0,0,0,1,0,0,0,0
"ENSG00000237491",33,249,54,169,20,87,59,54
