"","SRR980483","SRR3192450","SRR4421777"
"ENSG00000223972",2,0,0
"ENSG00000227232",87,75,83
"ENSG00000278267",9,0,0
"ENSG00000237613",1,0,0
"ENSG00000238009",3,1,0
"ENSG00000268903",0,0,20
"ENSG00000269981",0,2,3
"ENSG00000239906",0,1,0
"ENSG00000241860",14,6,148
"ENSG00000222623",0,0,5
"ENSG00000279928",4,1,3
"ENSG00000279457",211,36,62
"ENSG00000273874",1,0,0
"ENSG00000228463",42,3,0
"ENSG00000237094",30,132,52
"ENSG00000230021",14,5,37
"ENSG00000225972",4,5,0
"ENSG00000225630",150,35,369
"ENSG00000237973",591,37,149
"ENSG00000278791",0,3,0
"ENSG00000229344",23,1,3
"ENSG00000240409",3,0,0
"ENSG00000248527",1861,55,913
"ENSG00000198744",64,0,9
"ENSG00000228327",172,159,549
"ENSG00000223181",6,1,0
"ENSG00000237491",162,96,69
"ENSG00000230092",314,203,39
"ENSG00000177757",17,0,3
"ENSG00000228794",1553,235,212
"ENSG00000225880",111,21,96
"ENSG00000230368",159,27,3
"ENSG00000234711",1,0,0
"ENSG00000272438",23,4,10
"ENSG00000230699",80,37,2
"ENSG00000223764",377,90,25
"ENSG00000187634",1219,95,41
"ENSG00000188976",4394,917,996
"ENSG00000187961",284,32,2
"ENSG00000187583",45,17,51
"ENSG00000187642",7,0,17
"ENSG00000272512",43,19,24
"ENSG00000188290",883,124,0
"ENSG00000187608",538,90,560
"ENSG00000231702",37,2,0
"ENSG00000224969",2,0,0
"ENSG00000188157",4174,2112,485
"ENSG00000217801",13,4,13
"ENSG00000273443",1,0,1
"ENSG00000237330",457,108,72
"ENSG00000131591",604,259,219
"ENSG00000285812",1,0,0
"ENSG00000223823",29,5,5
"ENSG00000207730",32,18,16
"ENSG00000207607",21,33,2
"ENSG00000198976",39,21,9
"ENSG00000272141",178,23,54
"ENSG00000162571",17,10,23
"ENSG00000186891",3,9,0
"ENSG00000186827",128,7,58
"ENSG00000078808",2638,808,1758
"ENSG00000176022",1702,191,55
"ENSG00000184163",20,23,25
"ENSG00000260179",12,53,5
"ENSG00000160087",1603,625,107
"ENSG00000230415",57,25,1
"ENSG00000162572",282,43,24
"ENSG00000131584",3136,798,252
"ENSG00000169972",481,64,37
"ENSG00000127054",4561,697,4337
"ENSG00000240731",103,89,2
"ENSG00000224051",1131,122,563
"ENSG00000169962",24,17,3
"ENSG00000107404",4915,871,143
"ENSG00000162576",3517,424,211
"ENSG00000175756",2990,316,2354
"ENSG00000221978",13820,4067,559
"ENSG00000224870",1098,135,189
"ENSG00000242485",3362,581,7468
"ENSG00000272455",242,47,3
"ENSG00000235098",476,73,99
"ENSG00000225905",22,5,0
"ENSG00000225285",190,36,33
"ENSG00000179403",2687,377,115
"ENSG00000215915",62,5,0
"ENSG00000160072",1922,437,83
"ENSG00000284740",10,0,0
"ENSG00000197785",893,177,100
"ENSG00000205090",110,19,33
"ENSG00000160075",2594,940,972
"ENSG00000215014",36,11,8
"ENSG00000228594",58,2,10
"ENSG00000272106",532,149,39
"ENSG00000197530",2274,402,108
"ENSG00000189409",136,6,8
"ENSG00000248333",707,257,1007
"ENSG00000272004",13,2,21
"ENSG00000189339",3239,867,278
"ENSG00000269737",4,0,0
"ENSG00000215914",10,2,1
"ENSG00000008128",70,63,79
"ENSG00000268575",455,249,56
"ENSG00000227775",4,2,25
"ENSG00000215790",2985,454,123
"ENSG00000008130",2359,1237,442
"ENSG00000078369",7265,2706,1423
"ENSG00000231050",39,0,0
"ENSG00000169885",35,0,0
"ENSG00000178821",53,0,12
"ENSG00000142609",1,3,3
"ENSG00000233542",12,3,0
"ENSG00000187730",30,9,4
"ENSG00000226969",3,0,2
"ENSG00000067606",1144,277,130
"ENSG00000271806",2,0,0
"ENSG00000182873",56,16,2
"ENSG00000162585",1133,355,226
"ENSG00000234396",3,2,0
"ENSG00000157933",1226,921,400
"ENSG00000116151",790,259,182
"ENSG00000272161",1,0,0
"ENSG00000269896",161,29,17
"ENSG00000272420",23,10,6
"ENSG00000157916",4268,1510,1035
"ENSG00000157911",1976,327,72
"ENSG00000149527",78,25,37
"ENSG00000157881",1039,231,132
"ENSG00000197921",11,0,2
"ENSG00000238164",15,11,33
"ENSG00000157873",455,148,266
"ENSG00000228037",14,0,7
"ENSG00000157870",232,62,37
"ENSG00000142606",61,12,51
"ENSG00000215912",0,0,2
"ENSG00000177133",7307,733,498
"ENSG00000142611",2106,692,744
"ENSG00000283572",12,9,0
"ENSG00000226286",78,10,11
"ENSG00000279839",76,25,20
"ENSG00000272235",4,0,0
"ENSG00000130762",2759,486,246
"ENSG00000272088",14,5,0
"ENSG00000162591",2158,699,127
"ENSG00000207776",2,0,0
"ENSG00000238260",7,5,15
"ENSG00000158109",1348,659,123
"ENSG00000116213",883,207,132
"ENSG00000078900",31,1,4
"ENSG00000227372",2280,438,77
"ENSG00000235169",251,0,135
"ENSG00000130764",3633,697,161
"ENSG00000266075",6,5,0
"ENSG00000272153",4,0,0
"ENSG00000116198",2047,608,260
"ENSG00000169598",672,117,126
"ENSG00000198912",1811,263,656
"ENSG00000236423",38,2,1
"ENSG00000233304",3,0,2
"ENSG00000226374",1,0,0
"ENSG00000284703",0,3,0
"ENSG00000196581",196,99,51
"ENSG00000284692",1,2,0
"ENSG00000236948",0,1,1
"ENSG00000131697",450,233,106
"ENSG00000069424",233,127,150
"ENSG00000116254",436,81,28
"ENSG00000285629",2,1,0
"ENSG00000116251",14190,2224,873
"ENSG00000226944",19,1,9
"ENSG00000158286",859,176,128
"ENSG00000116237",6683,1631,287
"ENSG00000225077",4,2,0
"ENSG00000173673",1,0,0
"ENSG00000158292",944,219,141
"ENSG00000097021",852,119,163
"ENSG00000271746",24,2,10
"ENSG00000069812",3,1,2
"ENSG00000187017",100,31,23
"ENSG00000215788",492,60,34
"ENSG00000171680",1602,310,216
"ENSG00000162408",4018,1239,371
"ENSG00000229519",1,0,0
"ENSG00000173662",14,3,0
"ENSG00000204859",1578,283,207
"ENSG00000162413",1033,536,126
"ENSG00000116273",1078,566,174
"ENSG00000041988",1125,131,391
"ENSG00000007923",3176,784,2202
"ENSG00000228750",1,0,0
"ENSG00000237436",17,3,1
"ENSG00000171735",4474,626,4508
"ENSG00000237402",2,11,0
"ENSG00000237728",0,0,3
"ENSG00000225126",1,0,4
"ENSG00000270171",23,1,0
"ENSG00000270035",23,0,0
"ENSG00000269978",36,10,3
"ENSG00000049245",6056,1645,1627
"ENSG00000269925",78,48,6
"ENSG00000049246",1411,432,719
"ENSG00000236266",12,7,11
"ENSG00000049247",4,28,116
"ENSG00000049249",4,18,10
"ENSG00000116288",7997,987,7167
"ENSG00000284747",60,3,1
"ENSG00000284716",15,11,0
"ENSG00000116285",6556,5154,1439
"ENSG00000238290",19,21,82
"ENSG00000232848",5,0,0
"ENSG00000229305",2,0,0
"ENSG00000227634",9,1,2
"ENSG00000162426",66,68,252
"ENSG00000252254",1,7,0
"ENSG00000142599",7788,3376,2060
"ENSG00000232912",12,3,8
"ENSG00000221083",15,22,4
"ENSG00000234619",8,0,0
"ENSG00000224315",122,82,33
"ENSG00000222511",3,11,3
"ENSG00000226545",1,0,0
"ENSG00000228423",129,60,12
"ENSG00000074800",47060,5802,14683
"ENSG00000274258",2,6,0
"ENSG00000230679",9,0,32
"ENSG00000238249",7,3,1
"ENSG00000232208",1,0,1
"ENSG00000131686",0,1,0
"ENSG00000265141",16,1,0
"ENSG00000197241",0,5,9
"ENSG00000142583",27,230,148
"ENSG00000180758",402,148,42
"ENSG00000228526",77,43,54
"ENSG00000234546",2,2,9
"ENSG00000049239",5401,2942,777
"ENSG00000171621",835,476,131
"ENSG00000284652",16,8,1
"ENSG00000284693",96,12,18
"ENSG00000171612",593,213,44
"ENSG00000231181",49,11,2
"ENSG00000188807",371,122,47
"ENSG00000171608",421,224,182
"ENSG00000179840",0,1,4
"ENSG00000231789",81,10,86
"ENSG00000171603",5714,1732,884
"ENSG00000271264",1,0,0
"ENSG00000280113",11,0,0
"ENSG00000178585",2733,751,148
"ENSG00000285701",1,0,1
"ENSG00000162441",4005,604,2356
"ENSG00000228150",12,6,4
"ENSG00000173614",1594,235,314
"ENSG00000202415",34,0,5
"ENSG00000283611",0,0,4
"ENSG00000265521",4,0,0
"ENSG00000162444",77,45,546
"ENSG00000130939",5758,1336,947
"ENSG00000233623",20,14,3
"ENSG00000201746",8,29,2
"ENSG00000054523",11583,5428,1324
"ENSG00000264881",0,3,0
"ENSG00000199562",26,16,9
"ENSG00000284735",4,0,0
"ENSG00000284642",73,28,1
"ENSG00000142657",4997,680,889
"ENSG00000175279",42,5,0
"ENSG00000241563",17,5,25
"ENSG00000160049",8626,1039,1349
"ENSG00000142655",820,265,459
"ENSG00000243267",5,0,0
"ENSG00000130940",1893,1040,1501
"ENSG00000272078",2,0,9
"ENSG00000175262",13,0,4
"ENSG00000215785",2,0,0
"ENSG00000120948",1572,1082,250
"ENSG00000009724",0,0,1
"ENSG00000271895",117,62,1
"ENSG00000116649",368,95,129
"ENSG00000171824",7708,1455,4334
"ENSG00000226849",42,9,0
"ENSG00000230337",10,0,6
"ENSG00000198793",8336,2058,982
"ENSG00000171819",41,57,177
"ENSG00000238173",3,0,0
"ENSG00000120942",1048,165,145
"ENSG00000204624",84,2,14
"ENSG00000235643",0,4,0
"ENSG00000116661",415,51,25
"ENSG00000132879",791,99,235
"ENSG00000116663",354,70,183
"ENSG00000116670",1617,128,481
"ENSG00000162490",190,13,8
"ENSG00000177674",949,178,489
"ENSG00000215910",8,2,39
"ENSG00000177553",0,1,0
"ENSG00000177000",3611,1619,647
"ENSG00000011021",1709,547,485
"ENSG00000175206",16,23,185
"ENSG00000120937",2,2,16
"ENSG00000285646",487,70,2
"ENSG00000201801",38,38,44
"ENSG00000116685",2393,478,73
"ENSG00000083444",7763,906,1017
"ENSG00000116688",9799,1930,1263
"ENSG00000116691",852,159,216
"ENSG00000120949",46,10,1
"ENSG00000227875",1,0,0
"ENSG00000028137",655,442,222
"ENSG00000048707",20814,7545,3589
"ENSG00000239149",29,23,37
"ENSG00000229484",7,9,3
"ENSG00000162496",3974,775,619
"ENSG00000221340",18,2,2
"ENSG00000276830",5,5,0
"ENSG00000272482",28,23,41
"ENSG00000204518",4,1,3
"ENSG00000157330",2,0,0
"ENSG00000162494",2,5,5
"ENSG00000259961",1,0,0
"ENSG00000162493",933,693,2666
"ENSG00000253085",2,0,0
"ENSG00000116731",2723,1592,2386
"ENSG00000189337",952,471,265
"ENSG00000231606",1,3,5
"ENSG00000175147",990,389,125
"ENSG00000171729",1921,300,250
"ENSG00000215720",0,1,0
"ENSG00000278480",14,0,7
"ENSG00000142621",205,102,99
"ENSG00000233485",31,4,5
"ENSG00000228140",10,18,0
"ENSG00000142634",1866,1386,1126
"ENSG00000162438",6,6,2
"ENSG00000142615",29,2,0
"ENSG00000215704",4,0,0
"ENSG00000132906",1142,234,226
"ENSG00000116138",2780,907,1178
"ENSG00000251866",12,10,5
"ENSG00000272510",1,2,0
"ENSG00000116771",412,100,37
"ENSG00000237301",13,0,4
"ENSG00000235084",66,4,5
"ENSG00000252417",1,0,0
"ENSG00000197312",4056,1703,334
"ENSG00000116786",2517,1082,315
"ENSG00000237938",0,1,2
"ENSG00000162461",115,65,56
"ENSG00000224459",0,8,6
"ENSG00000162460",1,0,14
"ENSG00000162458",3087,885,1019
"ENSG00000224321",11,0,4
"ENSG00000233954",1305,72,573
"ENSG00000178715",3,0,0
"ENSG00000179743",334,96,260
"ENSG00000065526",8710,3147,1585
"ENSG00000270620",0,0,3
"ENSG00000116809",1785,270,260
"ENSG00000234607",1,6,0
"ENSG00000224966",0,0,1
"ENSG00000183888",9,0,2
"ENSG00000173641",495,319,594
"ENSG00000186510",148,16,28
"ENSG00000232456",3,0,0
"ENSG00000184908",70,17,9
"ENSG00000185519",9,2,0
"ENSG00000142627",718,583,199
"ENSG00000227959",30,29,127
"ENSG00000224621",20,24,14
"ENSG00000142632",1098,154,153
"ENSG00000237276",83,27,31
"ENSG00000132881",203,21,20
"ENSG00000233929",6,2,0
"ENSG00000037637",4094,1630,1202
"ENSG00000055070",5584,622,2442
"ENSG00000226457",11,0,2
"ENSG00000187144",3,2,5
"ENSG00000157191",5245,772,1550
"ENSG00000226029",120,68,12
"ENSG00000080947",1556,327,173
"ENSG00000206652",278,122,252
"ENSG00000261135",7,0,1
"ENSG00000233421",43,4,15
"ENSG00000225710",1,0,0
"ENSG00000219481",4172,1001,487
"ENSG00000271732",1,0,0
"ENSG00000215908",1632,742,272
"ENSG00000186301",210,52,40
"ENSG00000207513",1,0,30
"ENSG00000280114",5,0,0
"ENSG00000236698",74,14,25
"ENSG00000268869",15,3,7
"ENSG00000058453",1611,466,325
"ENSG00000207389",57,10,0
"ENSG00000186715",1512,213,76
"ENSG00000228549",37,7,30
"ENSG00000238142",623,25,218
"ENSG00000207005",364,178,259
"ENSG00000272426",53,2,19
"ENSG00000117122",2561,113,3164
"ENSG00000226526",1,0,5
"ENSG00000159363",753,363,117
"ENSG00000117118",6101,785,1751
"ENSG00000117115",258,111,56
"ENSG00000142623",1,9,5
"ENSG00000159339",9,7,26
"ENSG00000179051",1505,480,108
"ENSG00000074964",1419,916,805
"ENSG00000117154",75,9,4
"ENSG00000280222",17,19,6
"ENSG00000225387",14,0,2
"ENSG00000179023",32,83,44
"ENSG00000235282",1,0,0
"ENSG00000255275",0,0,3
"ENSG00000159423",682,33,17
"ENSG00000221662",1,0,0
"ENSG00000169991",744,157,41
"ENSG00000272084",70,51,10
"ENSG00000127481",21299,13078,3136
"ENSG00000230424",63,46,177
"ENSG00000127463",6636,1592,732
"ENSG00000053372",3230,413,1114
"ENSG00000211454",341,160,80
"ENSG00000162482",1458,1047,263
"ENSG00000270728",4,1,0
"ENSG00000053371",3446,376,102
"ENSG00000200403",15,4,7
"ENSG00000040487",562,141,188
"ENSG00000077549",4657,1590,1518
"ENSG00000240490",44,1,0
"ENSG00000173436",895,209,81
"ENSG00000235185",0,0,3
"ENSG00000158747",2692,940,160
"ENSG00000226396",443,56,50
"ENSG00000158748",1,0,0
"ENSG00000162542",2050,373,433
"ENSG00000178828",32,0,4
"ENSG00000169914",2697,739,120
"ENSG00000188257",54,19,120
"ENSG00000127472",25,7,22
"ENSG00000117215",3,0,5
