"","SRR2014229","SRR2014231","SRR3192449"
"ENSG00000223972",1,1,0
"ENSG00000227232",14,50,95
"ENSG00000278267",3,5,0
"ENSG00000238009",0,1,0
"ENSG00000233750",0,1,0
"ENSG00000268903",0,4,0
"ENSG00000269981",2,1,0
"ENSG00000239906",0,0,1
"ENSG00000241860",4,10,29
"ENSG00000279928",4,1,0
"ENSG00000279457",29,70,45
"ENSG00000228463",0,16,4
"ENSG00000237094",19,38,40
"ENSG00000230021",1,4,3
"ENSG00000225972",75,0,0
"ENSG00000225630",88,82,31
"ENSG00000237973",100,88,52
"ENSG00000229344",3,1,2
"ENSG00000240409",0,1,0
"ENSG00000248527",366,456,124
"ENSG00000198744",7,2,0
"ENSG00000268663",0,1,0
"ENSG00000229376",2,15,0
"ENSG00000228327",8,80,158
"ENSG00000223181",0,2,6
"ENSG00000229905",0,2,0
"ENSG00000237491",13,284,87
"ENSG00000230092",54,176,154
"ENSG00000177757",8,32,7
"ENSG00000228794",50,564,424
"ENSG00000225880",1,53,41
"ENSG00000230368",0,7,10
"ENSG00000234711",2,1,0
"ENSG00000283040",1,0,0
"ENSG00000272438",3,8,11
"ENSG00000230699",10,34,69
"ENSG00000241180",0,1,0
"ENSG00000223764",66,157,91
"ENSG00000187634",230,360,243
"ENSG00000188976",770,1349,760
"ENSG00000187961",98,169,61
"ENSG00000187583",13,27,16
"ENSG00000187642",5,102,23
"ENSG00000272512",38,49,25
"ENSG00000188290",135,317,90
"ENSG00000187608",230,184,91
"ENSG00000231702",0,1,0
"ENSG00000224969",0,7,0
"ENSG00000188157",3666,3401,2372
"ENSG00000217801",7,30,1
"ENSG00000273443",0,1,0
"ENSG00000237330",99,66,60
"ENSG00000131591",130,291,198
"ENSG00000285812",3,28,0
"ENSG00000223823",2,27,6
"ENSG00000207730",3,9,28
"ENSG00000207607",6,6,42
"ENSG00000198976",6,11,15
"ENSG00000272141",30,145,35
"ENSG00000205231",1,4,4
"ENSG00000162571",14,9,9
"ENSG00000186891",4,4,1
"ENSG00000186827",24,47,9
"ENSG00000078808",792,1709,763
"ENSG00000176022",170,437,146
"ENSG00000184163",6,34,10
"ENSG00000260179",2,14,32
"ENSG00000160087",224,732,602
"ENSG00000230415",16,36,28
"ENSG00000162572",55,215,80
"ENSG00000131584",1326,1821,1226
"ENSG00000169972",108,129,62
"ENSG00000127054",725,1603,807
"ENSG00000240731",26,74,115
"ENSG00000224051",559,416,121
"ENSG00000169962",116,116,10
"ENSG00000107404",593,1317,819
"ENSG00000162576",1357,1326,665
"ENSG00000175756",456,611,269
"ENSG00000223663",0,2,0
"ENSG00000221978",635,5991,3884
"ENSG00000224870",106,386,140
"ENSG00000242485",136,760,331
"ENSG00000272455",20,63,19
"ENSG00000235098",52,92,68
"ENSG00000225905",3,5,3
"ENSG00000205116",0,1,0
"ENSG00000225285",43,46,43
"ENSG00000179403",1309,1104,543
"ENSG00000215915",3,16,13
"ENSG00000160072",706,881,478
"ENSG00000284740",4,6,7
"ENSG00000197785",237,333,127
"ENSG00000205090",33,47,19
"ENSG00000160075",350,1309,666
"ENSG00000215014",10,9,2
"ENSG00000228594",41,29,5
"ENSG00000272106",67,164,118
"ENSG00000197530",1010,1405,725
"ENSG00000189409",40,87,23
"ENSG00000248333",85,529,272
"ENSG00000272004",0,2,2
"ENSG00000189339",521,1669,1318
"ENSG00000269737",35,171,0
"ENSG00000215914",4,8,1
"ENSG00000008128",7,39,22
"ENSG00000268575",28,97,214
"ENSG00000227775",5,33,2
"ENSG00000215790",153,566,941
"ENSG00000008130",375,1253,1082
"ENSG00000078369",877,4119,3109
"ENSG00000231050",26,10,2
"ENSG00000169885",10,74,6
"ENSG00000178821",15,55,2
"ENSG00000142609",13,7,2
"ENSG00000233542",6,16,0
"ENSG00000187730",18,24,9
"ENSG00000067606",124,357,296
"ENSG00000271806",2,37,0
"ENSG00000182873",10,43,12
"ENSG00000162585",309,442,372
"ENSG00000234396",0,2,4
"ENSG00000157933",678,1521,1216
"ENSG00000116151",115,366,256
"ENSG00000272161",0,4,0
"ENSG00000269896",10,77,43
"ENSG00000272420",0,8,11
"ENSG00000157916",253,1551,1442
"ENSG00000157911",125,230,272
"ENSG00000149527",44,33,78
"ENSG00000157881",250,437,350
"ENSG00000197921",19,3,0
"ENSG00000272449",0,0,4
"ENSG00000238164",0,16,19
"ENSG00000157873",120,252,212
"ENSG00000228037",1,5,2
"ENSG00000157870",91,116,127
"ENSG00000142606",12,19,15
"ENSG00000215912",2,3,0
"ENSG00000284745",0,4,1
"ENSG00000177133",482,2595,1763
"ENSG00000142611",154,1043,844
"ENSG00000283572",1,9,12
"ENSG00000226286",16,54,10
"ENSG00000279839",4,100,102
"ENSG00000272235",9,145,3
"ENSG00000130762",386,795,441
"ENSG00000272088",0,11,0
"ENSG00000162591",763,1159,768
"ENSG00000207776",0,3,5
"ENSG00000238260",3,5,5
"ENSG00000158109",214,845,570
"ENSG00000116213",196,428,244
"ENSG00000078900",28,55,13
"ENSG00000227589",0,3,0
"ENSG00000235131",1,2,0
"ENSG00000227372",179,949,525
"ENSG00000162592",5,4,0
"ENSG00000235169",88,37,13
"ENSG00000130764",287,939,704
"ENSG00000266075",2,6,5
"ENSG00000272153",11,25,2
"ENSG00000116198",91,926,811
"ENSG00000169598",62,250,173
"ENSG00000198912",78,520,330
"ENSG00000236423",7,19,21
"ENSG00000233304",0,1,0
"ENSG00000284703",1,0,0
"ENSG00000284694",0,1,0
"ENSG00000196581",10,82,100
"ENSG00000264101",1,1,2
"ENSG00000131697",163,396,374
"ENSG00000069424",86,156,108
"ENSG00000116254",33,223,134
"ENSG00000285629",0,1,0
"ENSG00000116251",190,3824,1771
"ENSG00000226944",3,7,1
"ENSG00000158286",197,474,370
"ENSG00000116237",301,2014,1474
"ENSG00000173673",2,1,0
"ENSG00000158292",586,549,323
"ENSG00000097021",241,297,139
"ENSG00000271746",0,0,1
"ENSG00000069812",5,6,10
"ENSG00000187017",86,72,22
"ENSG00000231868",0,3,0
"ENSG00000215788",56,295,149
"ENSG00000171680",371,801,537
"ENSG00000162408",178,1443,1227
"ENSG00000253022",0,7,0
"ENSG00000229519",6,36,0
"ENSG00000173662",9,7,0
"ENSG00000204859",316,614,321
"ENSG00000162413",481,788,591
"ENSG00000116273",130,593,568
"ENSG00000041988",121,335,147
"ENSG00000007923",113,1095,825
