"","SRR5309850","SRR5309855","SRR5309856","SRR5309881"
"ENSG00000227232",86,57,15,6
"ENSG00000268903",0,0,6,0
"ENSG00000222623",0,0,4,0
"ENSG00000279457",4,1,0,3
"ENSG00000228463",2,10,20,0
"ENSG00000278757",6,0,0,0
"ENSG00000230021",0,0,1,0
"ENSG00000225972",158,16,48,9
"ENSG00000225630",888,143,356,134
"ENSG00000237973",6308,1884,3062,1826
"ENSG00000278791",1,5,0,0
"ENSG00000229344",69,12,19,3
"ENSG00000240409",6,0,0,0
"ENSG00000248527",3348,427,745,414
"ENSG00000198744",348,6,20,4
"ENSG00000228327",4,5,5,0
"ENSG00000223181",0,0,13,0
"ENSG00000237491",1,8,9,0
"ENSG00000230092",134,49,262,8
"ENSG00000177757",1,0,1,0
"ENSG00000228794",289,31,139,69
"ENSG00000225880",101,5,59,1
"ENSG00000223764",23,0,0,26
"ENSG00000187634",104,20,20,19
"ENSG00000188976",229,83,91,123
"ENSG00000187961",52,9,0,0
"ENSG00000272512",61,0,4,0
"ENSG00000188290",160,14,20,34
"ENSG00000187608",387,175,67,74
"ENSG00000131591",15,11,13,15
"ENSG00000205231",0,2,0,0
"ENSG00000186827",0,9,1,0
"ENSG00000078808",302,114,58,87
"ENSG00000176022",91,27,35,1
"ENSG00000184163",0,4,0,0
"ENSG00000160087",214,41,108,33
"ENSG00000162572",60,4,1,54
"ENSG00000131584",92,50,16,67
"ENSG00000169972",26,3,60,42
"ENSG00000127054",257,45,139,141
"ENSG00000240731",4,0,0,0
"ENSG00000224051",85,23,9,49
"ENSG00000107404",88,0,167,48
"ENSG00000162576",314,21,67,148
"ENSG00000175756",985,209,383,257
"ENSG00000221978",987,389,437,202
"ENSG00000224870",5,23,11,4
"ENSG00000242485",663,143,299,82
"ENSG00000235098",43,1,0,33
"ENSG00000179403",59,7,15,40
"ENSG00000215915",14,0,0,0
"ENSG00000160072",27,1,1,0
"ENSG00000197785",20,4,17,0
"ENSG00000205090",0,0,0,1
"ENSG00000160075",1174,234,422,153
"ENSG00000215014",104,3,4,0
"ENSG00000228594",5,0,0,0
"ENSG00000272106",176,46,52,2
"ENSG00000197530",73,1,32,15
"ENSG00000189409",0,1,0,10
"ENSG00000248333",1066,360,453,242
"ENSG00000189339",424,238,284,261
"ENSG00000269737",7,18,112,5
"ENSG00000008128",0,0,0,1
"ENSG00000227775",44,5,62,1
"ENSG00000215790",294,142,250,100
"ENSG00000008130",14,19,12,50
"ENSG00000078369",2089,371,960,449
"ENSG00000231050",0,0,1,0
"ENSG00000178821",11,0,0,0
"ENSG00000187730",13,0,0,0
"ENSG00000067606",145,19,1,20
"ENSG00000271806",1,0,0,0
"ENSG00000182873",80,0,4,1
