"","ensembl","Tissue.x","nCPMs","Tissue.y","nCPMs_4","nCPM_ratio","hgnc_symbol","seqnames","gene_type"
"1","ENSG00000142676","Female_Heart",1312.148,"Female_Placenta",263.0156,4.98885997636642,"RPL11","chr1","protein_coding"
"2","ENSG00000084628","Female_Heart",1.3881493,"Female_Placenta",0.2944386,4.71456290038059,"NKAIN1","chr1","protein_coding"
"3","ENSG00000160097","Female_Heart",12.5533901,"Female_Placenta",0.3667475,34.2289725219667,"FNDC5","chr1","protein_coding"
"4","ENSG00000163873","Female_Heart",1.201810064,"Female_Placenta",0.006144974,195.576102356169,"GRIK3","chr1","protein_coding"
"5","ENSG00000185090","Female_Heart",1.7926959,"Female_Placenta",0.5605255,3.19824147161904,"MANEAL","chr1","protein_coding"
"6","ENSG00000183386","Female_Heart",13.414626,"Female_Placenta",3.774567,3.55395095649382,"FHL3","chr1","protein_coding"
"7","ENSG00000116983","Female_Heart",1.58812155,"Female_Placenta",0.07653957,20.749026287971,"HPCAL4","chr1","protein_coding"
"8","ENSG00000142937","Female_Heart",1143.8447,"Female_Placenta",289.8678,3.94609094214673,"RPS8","chr1","protein_coding"
"9","ENSG00000117425","Female_Heart",3.1046784,"Female_Placenta",0.5316276,5.83994961886855,"PTCH2","chr1","protein_coding"
"10","ENSG00000070785","Female_Heart",36.5691,"Female_Placenta",7.904836,4.62616808242448,"EIF2B3","chr1","protein_coding"
"11","ENSG00000177606","Female_Heart",209.59382,"Female_Placenta",68.58493,3.05597483295529,"JUN","chr1","protein_coding"
"12","ENSG00000203965","Female_Heart",16.687018,"Female_Placenta",5.476805,3.04685268144475,"EFCAB7","chr1","protein_coding"
"13","ENSG00000154027","Female_Heart",1.4420032,"Female_Placenta",0.2652378,5.43664289177485,"AK5","chr1","protein_coding"
"14","ENSG00000137941","Female_Heart",19.45152,"Female_Placenta",1.917612,10.1436161225524,"TTLL7","chr1","protein_coding"
"15","ENSG00000171502","Female_Heart",10.3045357,"Female_Placenta",0.2405906,42.830167512779,"COL24A1","chr1","protein_coding"
"16","ENSG00000162639","Female_Heart",13.946877,"Female_Placenta",4.615826,3.02153439059445,"HENMT1","chr1","protein_coding"
"17","ENSG00000116752","Female_Heart",47.63928,"Female_Placenta",15.18466,3.13732938373332,"BCAS2","chr1","protein_coding"
"18","ENSG00000272031","Female_Heart",1.3392252,"Female_Placenta",0.2892179,4.6305059265004,"ANKRD34A","chr1","protein_coding"
"19","ENSG00000143603","Female_Heart",11.3464748,"Female_Placenta",0.2858623,39.6920993079535,"KCNN3","chr1","protein_coding"
"20","ENSG00000163479","Female_Heart",230.79744,"Female_Placenta",74.73591,3.08817327573853,"SSR2","chr1","protein_coding"
"21","ENSG00000188859","Female_Heart",1.08374165,"Female_Placenta",0.09274326,11.6853952513638,"FAM78B","chr1","protein_coding"
"22","ENSG00000143196","Female_Heart",17.604885,"Female_Placenta",4.859437,3.62282400203974,"DPT","chr1","protein_coding"
"23","ENSG00000162630","Female_Heart",12.195651,"Female_Placenta",1.290745,9.44853631042537,"B3GALT2","chr1","protein_coding"
"24","ENSG00000203724","Female_Heart",4.0802037,"Female_Placenta",0.5914858,6.8982276497593,"C1orf53","chr1","protein_coding"
