"","ensembl","Tissue.x","nCPMs","Tissue.y","nCPMs_4","nCPM_ratio","hgnc_symbol","seqnames","gene_type","description"
"1","ENSG00000158747","Heart",18.01882,"Placenta",5.9169,3.04531426929642,"NBL1","chr1","protein_coding","NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
"2","ENSG00000142676","Heart",1038.003,"Placenta",255.9501,4.05548972241074,"RPL11","chr1","protein_coding","ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]"
"3","ENSG00000084628","Heart",1.3350984,"Placenta",0.2902671,4.5995512409088,"NKAIN1","chr1","protein_coding","sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]"
"4","ENSG00000160097","Heart",15.1819235,"Placenta",0.3636286,41.7511810127146,"FNDC5","chr1","protein_coding","fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20240]"
"5","ENSG00000092850","Heart",1.070368,"Placenta",0.2070884,5.16865261405274,"TEKT2","chr1","protein_coding","tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]"
"6","ENSG00000163879","Heart",13.504695,"Placenta",1.972594,6.84616043646082,"DNALI1","chr1","protein_coding","dynein axonemal light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:14353]"
"7","ENSG00000183386","Heart",17.189425,"Placenta",3.485478,4.93172672442632,"FHL3","chr1","protein_coding","four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]"
"8","ENSG00000168653","Heart",493.56638,"Placenta",24.09466,20.4844716630158,"NDUFS5","chr1","protein_coding","NADH:ubiquinone oxidoreductase subunit S5 [Source:HGNC Symbol;Acc:HGNC:7712]"
"9","ENSG00000116983","Heart",1.60971786,"Placenta",0.05137849,31.330579392271,"HPCAL4","chr1","protein_coding","hippocalcin like 4 [Source:HGNC Symbol;Acc:HGNC:18212]"
"10","ENSG00000142937","Heart",1188.6305,"Placenta",293.0876,4.05554687404039,"RPS8","chr1","protein_coding","ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]"
"11","ENSG00000070785","Heart",30.148916,"Placenta",8.147408,3.70043037000234,"EIF2B3","chr1","protein_coding","eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]"
"12","ENSG00000162373","Heart",15.0019454,"Placenta",0.9484829,15.8167800389443,"BEND5","chr1","protein_coding","BEN domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25668]"
"13","ENSG00000177606","Heart",205.38516,"Placenta",62.97129,3.26156824800635,"JUN","chr1","protein_coding","Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"
"14","ENSG00000162599","Heart",134.84658,"Placenta",42.51559,3.17169725270189,"NFIA","chr1","protein_coding","nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]"
"15","ENSG00000142856","Heart",25.09739,"Placenta",8.36144,3.00156312788228,"ITGB3BP","chr1","protein_coding","integrin subunit beta 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6157]"
"16","ENSG00000116761","Heart",3.9729191,"Placenta",0.6419457,6.18887095902348,"CTH","chr1","protein_coding","cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]"
"17","ENSG00000172260","Heart",38.115393,"Placenta",4.840436,7.8743718541057,"NEGR1","chr1","protein_coding","neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]"
"18","ENSG00000184005","Heart",25.881039,"Placenta",6.499956,3.98172526090946,"ST6GALNAC3","chr1","protein_coding","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]"
"19","ENSG00000137941","Heart",13.599705,"Placenta",1.791193,7.59254027902074,"TTLL7","chr1","protein_coding","tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]"
"20","ENSG00000203943","Heart",2.9681609,"Placenta",0.2363513,12.5582592522233,"SAMD13","chr1","protein_coding","sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]"
"21","ENSG00000171502","Heart",11.6061867,"Placenta",0.3016735,38.4726755913264,"COL24A1","chr1","protein_coding","collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]"
"22","ENSG00000122406","Heart",1690.8747,"Placenta",254.0855,6.65474692573956,"RPL5","chr1","protein_coding","ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]"
