"","ensembl","Tissue.x","nCPMs","Tissue.y","nCPMs_4","nCPM_ratio","hgnc_symbol","seqnames","gene_type","description"
"1","ENSG00000187642","Male_Heart",1.06460381,"Male_Placenta",0.04339224,24.5344285061108,"PERM1","chr1","protein_coding","PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]"
"2","ENSG00000235169","Male_Heart",5.8515855,"Male_Placenta",0.4905593,11.9283958126979,"SMIM1","chr1","protein_coding","small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]"
"3","ENSG00000117115","Male_Heart",11.578637,"Male_Placenta",3.757885,3.08115788535306,"PADI2","chr1","protein_coding","peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]"
"4","ENSG00000158747","Male_Heart",22.065411,"Male_Placenta",6.221088,3.54687331219234,"NBL1","chr1","protein_coding","NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
"5","ENSG00000183114","Male_Heart",1.1215905,"Male_Placenta",0.2156813,5.20022134510502,"FAM43B","chr1","protein_coding","family with sequence similarity 43 member B [Source:HGNC Symbol;Acc:HGNC:31791]"
"6","ENSG00000084628","Male_Heart",1.2820476,"Male_Placenta",0.2860956,4.48118600915219,"NKAIN1","chr1","protein_coding","sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]"
"7","ENSG00000116983","Male_Heart",1.63131418,"Male_Placenta",0.02621742,62.2225291428371,"HPCAL4","chr1","protein_coding","hippocalcin like 4 [Source:HGNC Symbol;Acc:HGNC:18212]"
"8","ENSG00000177606","Male_Heart",201.17651,"Male_Placenta",57.35765,3.50740502792566,"JUN","chr1","protein_coding","Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"
"9","ENSG00000187140","Male_Heart",1.151608,"Male_Placenta",0,Inf,"FOXD3","chr1","protein_coding","forkhead box D3 [Source:HGNC Symbol;Acc:HGNC:3804]"
"10","ENSG00000116761","Male_Heart",3.0012918,"Male_Placenta",0.6687407,4.48797538418104,"CTH","chr1","protein_coding","cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]"
"11","ENSG00000171502","Male_Heart",12.9078377,"Male_Placenta",0.3627564,35.5826601543074,"COL24A1","chr1","protein_coding","collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]"
"12","ENSG00000134201","Male_Heart",10.2997106,"Male_Placenta",0.1166445,88.3000107163218,"GSTM5","chr1","protein_coding","glutathione S-transferase mu 5 [Source:HGNC Symbol;Acc:HGNC:4637]"
"13","ENSG00000134202","Male_Heart",32.74005,"Male_Placenta",10.43305,3.13810918187874,"GSTM3","chr1","protein_coding","glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]"
